,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,6dGnYIeXmHdcikdzNNDMm2,0.0339,0.557,0.54,0.00248,0.179,0.8252666666666667,1.0,0.0347,0.645855,0.394
1,6vE90mi4yKsQGY3YD2OOv1,0.083,0.539,0.69,0.0,0.0847,0.8496833333333333,0.0,0.0332,0.604915,0.553
2,3gdewACMIVMEWVbyb8O9sY,0.432,0.601,0.532,6.25e-06,0.0925,0.8480166666666666,1.0,0.0286,0.682855,0.341
3,4yugZvBYaoREkJKtbG08Qr,0.343,0.575,0.67,4.95e-06,0.129,0.8268333333333333,1.0,0.0318,0.695955,0.74
4,7mjSHL2Eb0kAwiKbvNNyD9,0.345,0.48,0.542,0.000609,0.113,0.8581666666666666,1.0,0.0348,0.7642650000000001,0.567
5,5ihS6UUlyQAfmp48eSkxuQ,0.883,0.414,0.161,0.000223,0.117,0.628,0.0,0.0318,0.796875,0.423
6,54eZmuggBFJbV7k248bTTt,0.686,0.654,0.506,0.0155,0.155,0.7136666666666667,0.0,0.0535,0.615895,0.831
7,7pKfPomDEeI4TPT6EOYjn9,0.907,0.547,0.257,0.183,0.0935,0.7940333333333334,1.0,0.0252,0.37876,0.169
8,2DnJjbjNTV9Nd5NOa1KGba,0.157,0.659,0.678,6.69e-06,0.0784,0.8636666666666667,1.0,0.0313,0.53093,0.647
9,3G69vJMWsX6ZohTykad2AU,0.245,0.392,0.534,0.00104,0.155,0.85345,1.0,0.0369,0.906525,0.325
10,6mFkJmJqdDVQ1REhVfGgd1,0.735,0.481,0.262,0.0114,0.832,0.7378333333333333,1.0,0.0414,0.614305,0.375
11,4qqUsutDnU3ZSZbZiLrzNB,0.871,0.837,0.48,1.18e-06,0.27,0.8748333333333334,1.0,0.0442,0.6309400000000001,0.606
12,0iOZM63lendWRTTeKhZBSC,0.713,0.606,0.457,2.53e-05,0.0747,0.7660833333333333,0.0,0.0497,0.460165,0.813
13,5jgFfDIR6FR0gvlA56Nakr,0.754,0.686,0.127,1.41e-05,0.0573,0.76065,1.0,0.0342,0.468495,0.372
