,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,2i8f4VnnBjy0yDqH2C452a,0.00196,0.628,0.878,1.23e-05,0.0649,0.9422,1.0,0.0901,0.64988,0.796
1,0PCtDCMDypMnUhVrLyOQZs,0.033,0.742,0.603,0.0,0.0452,0.9040666666666667,1.0,0.0328,0.479955,0.793
2,6HQpMGnMQ1mVbTv0WA0u7r,0.0876,0.516,0.629,9.68e-06,0.352,0.9133,1.0,0.0357,0.44009,0.156
3,2YmJZWGcy0yONMCsEKOuVD,0.000938,0.413,0.876,0.000104,0.387,0.9237166666666666,1.0,0.057,0.8204,0.341
4,1pJk9Ai1GNT0HPWdRpgbBx,0.0131,0.604,0.794,0.000574,0.383,0.888,0.0,0.0672,0.7797499999999999,0.785
5,1C1PabZfidunDI3xEj0D0H,0.139,0.416,0.867,2.47e-06,0.0838,0.8969333333333334,1.0,0.116,0.840145,0.351
6,6KzI6EM1QYyOq5oudPlcWT,0.517,0.75,0.736,1.23e-05,0.0866,0.9099166666666667,0.0,0.0307,0.48516,0.579
7,3t0ic4mkhvhamrKDkulB8v,0.000374,0.555,0.729,0.000139,0.347,0.9156333333333333,1.0,0.0443,0.69932,0.482
8,7tMYbJhP6N732MAglwmuJf,0.143,0.633,0.856,0.00865,0.594,0.9223333333333333,0.0,0.0583,0.38003,0.892
9,4Z59a9hIn8EMsni3OiqGso,0.368,0.538,0.452,2.26e-05,0.0635,0.8667666666666667,1.0,0.0462,0.84051,0.209
10,4IhsInWIIjUg9Q04eqgnGl,0.102,0.568,0.518,8.42e-06,0.126,0.8684833333333333,1.0,0.0817,0.42984,0.619
11,48JqgW96LVIcrE4umJweWw,0.496,0.768,0.603,0.0,0.125,0.8839166666666667,1.0,0.0791,0.52506,0.56
12,4fBEzQfcHgiSQFOF6gXasu,0.00131,0.592,0.813,0.00834,0.0931,0.9202166666666667,1.0,0.0301,0.5100399999999999,0.369
13,3l6RgZRKf4FfSc2FJlesEL,0.128,0.452,0.934,0.309,0.0946,0.9161,0.0,0.0935,0.66199,0.299
14,71Ohbh25hv8SzzZCfq8i4B,0.0839,0.563,0.652,1.54e-06,0.445,0.8837,0.0,0.128,0.4044,0.67
