,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,1vgSaC0BPlL6LEm4Xsx59J,0.932,0.257,0.0906,0.985,0.0786,0.5769833333333334,1.0,0.07,0.3373,0.0451
1,7glKwbR1DyuIuE6XvZvJbQ,0.911,0.159,0.071,0.856,0.107,0.5481833333333332,0.0,0.0409,0.734885,0.0602
2,0QWg9GVhRxE2r72Tw7PIzF,0.982,0.0814,0.0293,0.901,0.206,0.5763166666666667,1.0,0.0408,0.854615,0.0312
3,1i8MaQec4fQXj1enX8ZWF4,0.528,0.196,0.0236,0.0845,0.289,0.5751166666666667,0.0,0.0429,0.67298,0.0894
4,3pcrD4NBBBQGMJATRhk25C,0.82,0.179,0.249,0.929,0.0803,0.6680333333333334,1.0,0.0405,0.42222000000000004,0.0367
5,3g1hBwztBeoT9dK9w16ENA,0.979,0.0659,0.013,0.847,0.0704,0.3593833333333334,1.0,0.0436,0.358175,0.0343
6,07xAmnJmWBdg1vfbZruWPN,0.953,0.177,0.1,0.967,0.0651,0.5498666666666667,1.0,0.0466,0.356485,0.0394
7,0efbgQ82IjFjgDsr5vBckW,0.973,0.147,0.121,0.968,0.0882,0.4702833333333333,1.0,0.0393,0.444065,0.128
8,4GGdwZABjIFSnFGavhd7Ge,0.866,0.25,0.0911,0.943,0.107,0.5298333333333334,1.0,0.0524,0.590825,0.0323
9,1mGrXg7R32ONwODtN56Ou7,0.0662,0.413,0.0499,0.858,0.0775,0.5401666666666667,0.0,0.031,0.69988,0.0301
10,2Px24p2YvxnJt2nF4VShyO,0.841,0.166,0.308,0.947,0.0761,0.5853833333333334,0.0,0.0511,0.401825,0.0758
11,4KrsGAgv8b2982iqaokrO0,0.99,0.297,0.00705,0.929,0.0877,0.6044499999999999,1.0,0.0444,0.33098999999999995,0.0863
12,4KvUvF2p3dwxYCbq4LswDA,0.976,0.147,0.0324,0.978,0.114,0.4873666666666667,1.0,0.0418,0.68829,0.0397
13,1GfdC8GouQqL0RKKzgIhXw,0.993,0.207,0.0537,0.953,0.0991,0.5528500000000001,1.0,0.043,0.341135,0.0325
