,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,61dYvvfIRtIDFuqZypPAta,0.9,0.257,0.109,0.867,0.0762,0.6440666666666666,1.0,0.0597,0.3751,0.307
1,4SFBV7SRNG2e2kyL1F6kjU,0.989,0.221,0.126,0.897,0.102,0.5762166666666666,1.0,0.0447,0.66815,0.216
2,3zLTPuucd3e6TxZnu2dlVS,0.987,0.289,0.0306,0.911,0.102,0.48683333333333334,0.0,0.0446,0.62805,0.118
3,0DqFXzLtKkj9JO421NJpl1,0.922,0.0769,0.0846,0.929,0.113,0.5667166666666666,1.0,0.045,0.881645,0.0586
4,1Mse9NKBbEASi50CQ4aYhr,0.744,0.128,0.132,0.942,0.107,0.7055,1.0,0.0353,0.42656999999999995,0.0988
5,1upQiytDIEZfl9ItruoXuC,0.927,0.0939,0.0336,0.83,0.0954,0.5993166666666667,0.0,0.0606,0.33679499999999996,0.0516
6,5fdp9rXfEixCGLM1Og4EN1,0.996,0.376,0.00579,0.944,0.0882,0.4730833333333334,0.0,0.0576,0.359135,0.0369
7,0jOnZhF75V68VsBObWx2XO,0.986,0.169,0.0161,0.86,0.0805,0.4827666666666667,0.0,0.0442,0.640715,0.0573
8,1cmigB9I6IRpFqjIbzvSQB,0.993,0.335,0.00501,0.919,0.0618,0.44389999999999996,1.0,0.0451,0.660425,0.0383
9,0XfFRLi9G87t57kqZAzeef,0.87,0.114,0.0701,0.431,0.0916,0.6097166666666667,0.0,0.0445,0.44665,0.0371
10,4J0e4gEqaLQlG5EM0wws1K,0.975,0.233,0.0252,0.601,0.143,0.5862666666666667,1.0,0.0346,0.47368000000000005,0.0936
11,5OenUWwcUBDltPyN1Hh40D,0.898,0.371,0.131,0.925,0.0847,0.6016833333333333,0.0,0.0422,0.53436,0.0656
12,0cqcRqZgkNHanWQ8slYA0v,0.896,0.0783,0.0523,0.945,0.0806,0.6125499999999999,1.0,0.0471,0.410075,0.0327
13,0k6P9cdEA9K3k0ASde2Kof,0.93,0.253,0.098,0.862,0.122,0.6687000000000001,0.0,0.0437,0.42432499999999995,0.062
14,3DNRdudZ2SstnDCVKFdXxG,0.995,0.184,0.00527,0.887,0.173,0.37893333333333323,0.0,0.0432,0.8530599999999999,0.151
15,04eShjKTWijeJJqGnhxpYK,0.962,0.235,0.0639,0.603,0.466,0.5932666666666666,0.0,0.049,0.60368,0.0781
16,4YPPXfCUuKEWvvsnl64BEA,0.903,0.0946,0.0129,0.294,0.082,0.4617,0.0,0.0491,0.413705,0.0382
17,4rrrn8OLrttq7r9RgNXalU,0.983,0.194,0.0545,0.945,0.0551,0.5853833333333334,1.0,0.0366,0.7048300000000001,0.0385
18,3GecLjGMqzjmgkvy2v41Wf,0.993,0.341,0.0142,0.921,0.113,0.5284500000000001,1.0,0.0388,0.38191,0.0384
19,2MSgFefjK0T7Iwjvr3OKqV,0.992,0.225,0.0047,0.881,0.0722,0.48453333333333337,0.0,0.0509,0.818325,0.186
20,2u9VGZmVz7Rm01SfDgzcfA,0.987,0.279,0.0292,0.902,0.104,0.5532666666666667,1.0,0.0406,0.68366,0.0338
21,3af6PvJHP8XlFMWeuN7bF8,0.484,0.113,0.161,0.928,0.16,0.6658999999999999,1.0,0.0442,0.32531,0.0365
22,2b9jjrVhyalVAu9jmlH5eG,0.948,0.349,0.254,0.856,0.0843,0.7298833333333333,0.0,0.0359,0.667145,0.101
23,4gmhjAsvL6c7se2PBh7dHw,0.499,0.701,0.341,0.903,0.359,0.7956666666666666,0.0,0.0418,0.5275650000000001,0.163
24,0QTaXZRWdzfPdssiQThdCL,0.981,0.312,0.0465,0.9,0.0872,0.5593666666666667,0.0,0.0378,0.651515,0.0371
25,2Z4aQJh0kesRMookvtfR4y,0.975,0.302,0.119,0.887,0.11,0.6990166666666666,0.0,0.0386,0.47200000000000003,0.0381
26,0S0YKiEdR9cT9pYgEaTevF,0.991,0.0623,0.0116,0.445,0.0816,0.5351166666666667,1.0,0.0567,0.325285,0.0331
27,1CSaCKPIp2yCIDL3t7Fyau,0.974,0.102,0.0733,0.859,0.28,0.5977833333333333,0.0,0.0488,0.36977,0.0308
28,5pjDwtMPly0cNMbuGXhUOI,0.944,0.148,0.0722,0.148,0.115,0.5797166666666667,0.0,0.0427,0.43941,0.0467
29,2nVt0n0aSj3AwZjakMvDHX,0.807,0.165,0.106,0.782,0.105,0.6376333333333333,1.0,0.039,0.528255,0.0336
30,4Dcm4KMuDz0l01weeSpD4J,0.922,0.292,0.246,0.525,0.107,0.7506666666666666,1.0,0.0385,0.54883,0.0859
31,3Yf8ais15iSDj9i0at2fOC,0.984,0.154,0.029,0.89,0.129,0.5512166666666667,1.0,0.0374,0.39255,0.0376
32,4WyfQ9OavlPgFqiaV1sy8V,0.966,0.115,0.0422,0.919,0.0896,0.5977166666666667,1.0,0.0404,0.439275,0.037
33,3MRQn2RYo2VLYMoStnLRxu,0.994,0.491,0.0176,0.927,0.0985,0.5514833333333333,0.0,0.0644,0.628965,0.0901
34,0xX7kREWmOGBWzYNcpZwRN,0.958,0.25,0.135,0.0349,0.0477,0.6897500000000001,1.0,0.0488,0.47202,0.179
35,5RCUzABQui1AX1KeToGaBs,0.976,0.222,0.12,0.914,0.0845,0.6581166666666667,1.0,0.0365,0.43961500000000003,0.0393
36,4wudbbceOZKjRlhTtbHvAs,0.899,0.176,0.006,3.24e-05,0.105,0.29603333333333337,1.0,0.0384,0.357385,0.0383
37,62PbW2vKBkNcCEAUUZyuES,0.903,0.101,0.0326,0.863,0.117,0.7121999999999999,0.0,0.0386,0.36837000000000003,0.0526
38,5xcYuTciYwyCDPkOgYBAYz,0.98,0.205,0.0525,0.906,0.103,0.6026499999999999,1.0,0.0327,0.44158000000000003,0.0511
39,2OHnoGjn6X6kDwzO7Rw0Y9,0.797,0.351,0.206,0.255,0.0738,0.6223833333333333,1.0,0.0597,0.652075,0.0839
