,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,59kHPbwyyCApYA8RQQEuXm,0.362,0.606,0.706,0.0,0.16,0.8389166666666666,1.0,0.0379,0.8726649999999999,0.819
1,6leiB1fEsTnVCuPiielde5,0.378,0.507,0.85,0.0,0.0567,0.90535,1.0,0.0472,0.8590000000000001,0.847
2,6sxptembJVty4sNtcPMAVz,0.581,0.657,0.639,0.0,0.278,0.8745499999999999,1.0,0.0412,0.62441,0.674
3,1ipcb9qXpSHWhSUvdxJhsx,0.143,0.677,0.724,0.000101,0.158,0.8501333333333333,1.0,0.0245,0.45196,0.697
4,6Lmx6bz3PGYuNSjKMnYBOa,0.0471,0.607,0.815,2.81e-05,0.111,0.8896833333333334,1.0,0.039,0.684745,0.57
5,6iy4PoAuZBMvtrlDX4VxC7,0.0551,0.708,0.524,3.21e-06,0.0371,0.7892666666666667,1.0,0.0352,0.55741,0.69
6,2ulBBx6YQ3qY3ci34RadtN,0.522,0.783,0.698,2.52e-06,0.0754,0.8622,1.0,0.0323,0.62498,0.758
7,0pdfN7nOHMYmKykzu1cyfm,0.207,0.592,0.725,0.0,0.148,0.8550333333333333,1.0,0.0412,0.391175,0.784
8,5Pgwi0iizu96RHxJ4xL3SH,0.314,0.572,0.449,0.0,0.0301,0.8905666666666667,1.0,0.0264,0.61316,0.207
9,2MiXC2LfpsoeUP5RvMGEQ3,0.52,0.428,0.51,8.32e-06,0.105,0.8050833333333334,0.0,0.103,0.8498350000000001,0.393
10,2M38X60UJnupGPbFTkVPNQ,0.596,0.735,0.488,1.1e-06,0.0949,0.824,1.0,0.026,0.511915,0.452
11,0Xg68XXMRWzKQvD5S6BFvI,0.0237,0.736,0.614,5.84e-06,0.292,0.8146,1.0,0.0389,0.49971,0.858
12,4TJUS843fKiqqIzycM74Oy,0.441,0.618,0.672,1.49e-06,0.214,0.868,1.0,0.0353,0.667195,0.705
13,0NLBwQBYJhEM9t3KAMPFVR,0.108,0.771,0.848,0.0,0.35,0.87725,1.0,0.035,0.57821,0.803
14,6qc34bnVOyqGDPni8H5W0U,0.26,0.561,0.543,0.0,0.124,0.8583666666666667,1.0,0.0324,0.6990149999999999,0.243
15,3IvcWWehbBcBR4YZxlGM9R,0.0196,0.643,0.961,0.0,0.948,0.9117,1.0,0.0315,0.620135,0.96
16,0FtV0YbnnjD7PXpLHFHPhn,0.226,0.674,0.517,0.0,0.0697,0.8129166666666667,1.0,0.0726,0.47490000000000004,0.482
17,7puxIVNdj5nsBJk43zM3bH,0.22,0.629,0.479,0.0,0.0587,0.8231999999999999,1.0,0.0271,0.691155,0.345
18,3rXCZRMiMZp0feGcYXpwYX,0.365,0.467,0.622,0.00527,0.0982,0.8790833333333333,1.0,0.031,0.82209,0.455
19,2EoIt9vdgFRNW03u5IvFsQ,0.051,0.8,0.563,0.0,0.0797,0.82985,1.0,0.0303,0.60904,0.961
20,7lUE02KHkZM44BZgjCaWRO,0.663,0.746,0.443,0.0,0.223,0.8115833333333333,1.0,0.0359,0.45555,0.554
21,6HveTIMynTMzTc5L0TcS20,0.752,0.514,0.243,0.00054,0.0822,0.7942,1.0,0.0288,0.8590800000000001,0.388
22,5FxgRnXBHMM0q4stwqrjjM,0.183,0.644,0.868,0.0,0.322,0.9336666666666666,1.0,0.0464,0.6718999999999999,0.642
23,6cjwec9ii5uLK7CDfPBYt1,0.577,0.563,0.544,0.0,0.128,0.8983,1.0,0.0306,0.896755,0.602
24,39IoZIC8eEirT1v70rqSPq,0.208,0.616,0.723,0.0,0.181,0.8924833333333333,1.0,0.0913,0.802625,0.859
25,3wjD3Ufjll7UKrEDPdGuX3,0.437,0.495,0.695,0.00048,0.0734,0.8845166666666666,1.0,0.0318,0.36828000000000005,0.496
26,1TanmIWbaUj5NVwJ3k4XPd,0.127,0.729,0.688,9.44e-06,0.295,0.8755333333333333,1.0,0.0264,0.619335,0.671
27,08c3wmdjKSjxTJY9cHSts7,0.176,0.711,0.642,0.0,0.0814,0.8515166666666667,1.0,0.0319,0.629155,0.762
28,2h5a6t9JFasqH5WJFPbmGL,0.411,0.525,0.878,0.0,0.291,0.8553833333333334,1.0,0.0404,0.881245,0.963
29,7rDcULv8vV16vetBjPJhuE,0.0534,0.648,0.667,6.94e-06,0.0908,0.8502333333333333,1.0,0.0311,0.548045,0.669
30,1nVoLxz8C0uGgMKfywy0vf,0.257,0.712,0.63,6.65e-05,0.0999,0.8966333333333334,1.0,0.0299,0.59189,0.768
31,2IY559smG7SXYk229NA2Vl,0.151,0.571,0.818,0.0,0.348,0.8910166666666667,1.0,0.0415,0.815225,0.728
32,2op0kDNARK2VHWHntEeH4g,0.127,0.492,0.823,0.0,0.0523,0.8579,1.0,0.0297,0.47171,0.702
33,2oyS4THTUzUxT2lnHGzzIr,0.367,0.764,0.646,0.0,0.0849,0.8429333333333333,1.0,0.0302,0.580705,0.877
34,1wb4P4F0sxAQ2KXrRvsx6n,0.363,0.585,0.494,0.0,0.0886,0.85415,1.0,0.0353,0.66911,0.634
35,2TIEeLrOQrGnO2D2OeDDJu,0.563,0.856,0.517,0.000164,0.144,0.8461333333333334,0.0,0.0293,0.591995,0.479
36,0qrst0xZAZ0NtMtuUcEq0f,0.185,0.694,0.654,0.0,0.283,0.8475333333333334,1.0,0.0322,0.6789350000000001,0.689
37,3QV7NYkrmV0Q0IHdFJw9hO,0.0664,0.689,0.886,0.0,0.278,0.8822333333333333,0.0,0.0382,0.61035,0.906
38,0nDjzA4kns1QOWPXuOn6Xw,0.198,0.479,0.698,0.0,0.126,0.8681,1.0,0.0277,0.7984950000000001,0.673
39,4fOFOwrAHA9PdhOL7lciok,0.502,0.629,0.721,0.0,0.307,0.9379666666666666,1.0,0.0277,0.47027,0.651
40,4FUfoWMypAyWbOavmYyeNu,0.235,0.757,0.757,0.0,0.0474,0.8733666666666666,1.0,0.0389,0.62478,0.967
41,3Q9t1A12iUemHTAWnH7PjD,0.173,0.759,0.723,0.0,0.179,0.84475,1.0,0.028,0.6837300000000001,0.962
42,0NyMrtH8mUuvtJjEpESn7J,0.403,0.64,0.533,0.0,0.176,0.8359,1.0,0.0264,0.6761199999999999,0.652
43,59MIR30ATtW8kTaX3SCpq0,0.202,0.638,0.819,4.1e-05,0.3,0.8892333333333333,1.0,0.0291,0.62031,0.706
