,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,1aNUSKBe6UMyMk3pEu9ws7,0.00618,0.762,0.895,0.145,0.203,0.9239666666666666,1.0,0.0737,0.629895,0.755
1,3YgtkOxZsTuaZdL8McA1FQ,0.582,0.747,0.867,0.00413,0.114,0.87815,1.0,0.088,0.620075,0.684
2,3YfGTvsTAWGC2lgoDOikUz,0.238,0.454,0.931,0.000623,0.289,0.9319500000000001,1.0,0.0321,0.6897249999999999,0.462
3,6tifCCTIVBLC2TmTquYG7G,0.000285,0.745,0.85,0.0392,0.118,0.93495,0.0,0.075,0.69015,0.54
4,22dUzMFttcR3uU17NcOAIv,0.0311,0.587,0.924,0.0171,0.23,0.90945,0.0,0.0457,0.7000449999999999,0.509
5,23RoR84KodL5HWvUTneQ1w,0.12,0.671,0.876,0.188,0.0823,0.9053166666666667,0.0,0.0352,0.64999,0.964
6,4b2rlKIqyLxpxoIaG7sZ5K,0.000485,0.673,0.908,0.781,0.113,0.894,0.0,0.0387,0.630065,0.045
7,64Tr5OvZxEa8GGgYER12Up,0.00802,0.807,0.685,0.523,0.0941,0.8773,0.0,0.05,0.630115,0.58
8,5Y2n6pW4Vqr4Mzkd9V4Uk8,0.0367,0.355,0.802,1.06e-05,0.197,0.9147666666666667,0.0,0.0478,0.6750849999999999,0.0391
9,3zFsJdVCu29em7VUB3Ujqp,0.00616,0.531,0.855,0.482,0.191,0.8879666666666667,1.0,0.0335,0.63009,0.117
10,199wv1uOJYZ1XyK8FTzwh2,0.601,0.707,0.835,0.791,0.0933,0.8540166666666666,0.0,0.0418,0.600045,0.0958
11,4bz8Z7squfs2Yji2DwoujR,0.0213,0.477,0.854,1.67e-05,0.19,0.9121,0.0,0.0896,0.634825,0.395
12,3xIMkM5LgbVDkpO74O3Np3,0.00306,0.742,0.839,4.2e-05,0.106,0.8731,0.0,0.0618,0.63015,0.346
13,60O0CjviBowszlKb9R4Xjm,0.0905,0.657,0.783,7.34e-06,0.103,0.9028666666666667,0.0,0.398,0.671115,0.707
14,2TSU0Ti5e5beL9mYlHbYQu,0.0223,0.613,0.882,0.0,0.303,0.9172833333333333,0.0,0.0449,0.629875,0.255
15,3zkb0907pOJqU7m3Qh5hB7,0.242,0.42,0.866,0.000318,0.107,0.9155833333333333,0.0,0.151,0.99033,0.843
16,602d2gJewoiF1FivuOMMwE,0.00488,0.504,0.976,9.64e-05,0.139,0.9891166666666666,1.0,0.0946,0.87524,0.368
17,4EmH2iRucAgCOnhuJRotUi,0.0718,0.625,0.951,0.585,0.164,0.9189,0.0,0.0393,0.650005,0.376
18,6xp1u6ZEHXX8DxJIFFrVoP,0.00423,0.644,0.879,6.91e-06,0.286,0.9132666666666667,0.0,0.0761,0.634675,0.808
19,7msMFkuYQdBaJhiav2UrM1,0.347,0.715,0.426,0.000761,0.178,0.8112333333333334,1.0,0.107,0.550125,0.588
20,7zp9FOU4cjFdGN1zdWTvcB,0.000502,0.884,0.707,0.258,0.363,0.8898833333333334,1.0,0.202,0.635065,0.582
21,14VthBnru6kiREQUYAuNSL,0.0886,0.669,0.718,0.4,0.341,0.8703,0.0,0.0438,0.604775,0.615
22,0p4gPitg46gAPG3IdJvW5d,0.0648,0.766,0.903,0.381,0.102,0.9174,0.0,0.075,0.6548,0.588
23,0H2idlyIDxyotmpAJ2NUeh,0.0197,0.527,0.927,0.87,0.138,0.8984,1.0,0.07,0.800075,0.5
24,0iG3esqSDh6QJdN1zrAgyo,0.0324,0.894,0.625,0.835,0.31,0.8598,1.0,0.0926,0.70017,0.0682
25,2grS8y9w2vVp7sDJ3RnSx9,0.0268,0.69,0.84,3.06e-05,0.363,0.8842166666666667,1.0,0.0573,0.649675,0.493
26,2DVvsgWrZ4rUjupdRGYEXK,0.00265,0.588,0.804,0.0,0.0708,0.9067666666666667,1.0,0.0428,0.620275,0.381
27,6Ea2oEzysv4UECGNxL1IEW,0.053,0.738,0.883,0.193,0.102,0.86685,1.0,0.0818,0.6252,0.651
28,4ejCsNXh66YasBUiwfBhDg,0.00589,0.815,0.645,2.96e-05,0.709,0.8992333333333333,0.0,0.0938,0.63497,0.652
29,33o5QF5ZEAllqV4jDnRYu7,0.00013,0.785,0.86,0.179,0.152,0.9016333333333333,1.0,0.0368,0.650065,0.787
30,0GTuyzPTs2G0wqFD1trSOw,0.0792,0.652,0.614,0.0,0.239,0.8694500000000001,0.0,0.0664,0.6499550000000001,0.384
31,6kkf975GwERykpvOTu7IXZ,0.000968,0.633,0.961,0.808,0.145,0.93375,0.0,0.0503,0.625165,0.0433
32,3hGXZKj3lYKKRQtKE8XN55,0.0147,0.718,0.767,0.847,0.088,0.86405,0.0,0.048,0.6250249999999999,0.0699
33,5LBemsCrsGqsXSGYA8i2z6,0.00478,0.803,0.82,0.299,0.116,0.8482666666666667,1.0,0.08,0.640145,0.611
34,0Ni4MDtBVlLPXm5gkkAuO6,0.0185,0.745,0.868,0.906,0.671,0.89825,0.0,0.0464,0.61994,0.562
35,00E0Z2jrF7reoHps4zcbWQ,0.0868,0.675,0.986,4.96e-06,0.128,0.9232333333333334,0.0,0.0974,0.63002,0.57
36,5RHIevCuoIZcY1AlnJ01fN,0.0144,0.458,0.91,5.05e-06,0.0416,0.9619,1.0,0.123,0.8697750000000001,0.313
37,4YUgS4PGLSBI6sbKUxaD3D,0.188,0.643,0.833,2.41e-06,0.339,0.9315166666666667,1.0,0.1,0.699705,0.216
38,6Qnw1wRWCxdpKV7xlv0706,0.00779,0.734,0.733,0.167,0.0494,0.9435333333333333,1.0,0.0504,0.5749150000000001,0.962
39,4W7bfpXBXrH79dnWyJMkEX,0.161,0.693,0.73,4.12e-05,0.109,0.9156666666666666,0.0,0.0356,0.60009,0.693
40,0fK4NmIDXetjIiZ2Oxz2tF,0.229,0.759,0.882,0.0403,0.342,0.9031666666666667,1.0,0.0339,0.68529,0.878
41,71xKlOIhZKO55Rt3zSHzQt,0.00166,0.741,0.991,0.00319,0.0832,0.9596,1.0,0.0395,0.67486,0.781
42,1wYTR3Hg5rBQcdfxGEdsx0,0.0844,0.478,0.497,0.00118,0.178,0.9168000000000001,1.0,0.0304,0.7202299999999999,0.209
43,2ZWmmrWUgDBcPSLihBMvhg,0.228,0.62,0.935,0.00443,0.0601,0.9916,1.0,0.252,0.43766,0.559
44,7FyqTJJ8bdFVpNMoMNQbXA,0.00147,0.526,0.888,0.0,0.188,0.9372333333333334,0.0,0.0591,0.63953,0.451
45,5RfVafaeEEiqC0Z3LsBaZw,0.0122,0.434,0.66,6.12e-06,0.103,0.9065833333333333,1.0,0.0359,0.63984,0.315
46,4uoSxzvEVMcDsIK0aHZFAv,0.0461,0.566,0.704,3.25e-05,0.731,0.8666166666666667,0.0,0.0752,0.624665,0.429
47,0NUsMgXjITsbxk5WC4aleu,0.0279,0.66,0.748,0.0035,0.0968,0.8774833333333334,0.0,0.0516,0.589845,0.536
48,2xlSM0k9SCoG6UMaZWWRiC,0.0175,0.308,0.708,0.144,0.139,0.8689166666666667,1.0,0.0352,0.61499,0.0376
49,3BWFWF4G8XySY7b98HjS6K,0.00058,0.72,0.72,0.877,0.115,0.8074666666666667,0.0,0.0373,0.59999,0.0375
50,5G7DvsOLvNE5HTVmJJyo6K,0.168,0.734,0.773,0.844,0.0442,0.8604833333333333,1.0,0.0371,0.630025,0.784
51,5pyLmnW31JUqznPiwsoeUR,0.407,0.711,0.899,0.804,0.158,0.9175333333333333,0.0,0.0419,0.624875,0.266
52,7j3zZ2jAjzFD60UjhldhHo,0.421,0.679,0.506,0.00216,0.434,0.8417166666666667,0.0,0.0671,0.574835,0.588
53,6htWGNhskc5f0Xke88Vn5z,0.00199,0.665,0.633,0.392,0.0795,0.8472833333333334,1.0,0.0504,0.8738750000000001,0.577
54,0MuAaWayfAeq0C6WDM15Mz,0.0144,0.666,0.865,0.0,0.0926,0.9480333333333333,1.0,0.0421,0.625185,0.39
55,5PXZlm9dBDA8dBXxle5Da8,0.0449,0.567,0.865,0.0026,0.414,0.9086333333333333,1.0,0.0674,0.63498,0.509
56,5HadIAY3Oray8VKuv3shgQ,0.129,0.707,0.969,0.876,0.0913,0.91365,1.0,0.0882,0.64992,0.251
57,6XmGXRgcSdCGG2u5gSmAJ9,0.0114,0.715,0.786,0.525,0.117,0.8492166666666666,1.0,0.159,0.69001,0.0833
58,0RmzDQgs6xKmVA2jsmSPXF,0.000276,0.568,0.88,0.807,0.699,0.8809833333333333,1.0,0.0435,0.6302300000000001,0.0326
59,6W9qtw3ddhkYznaOxB50p8,0.404,0.615,0.744,0.0,0.0906,0.8715666666666666,1.0,0.163,0.6591849999999999,0.357
60,3ol5EIFVcL4XneXKXjQpfx,0.00466,0.657,0.809,0.000229,0.601,0.94125,0.0,0.0563,0.62491,0.859
61,5UM6P3y6794GYNOzZvj2zh,0.00407,0.732,0.88,0.00929,0.0635,0.9027333333333334,0.0,0.101,0.6250950000000001,0.863
62,3k0DJq2HdWJqnqor8NX0ac,0.201,0.746,0.622,0.00113,0.104,0.86795,1.0,0.241,0.640505,0.719
63,7DnI3ktF2vcmzKuCCKseQL,0.0723,0.535,0.954,0.000819,0.213,0.92755,1.0,0.0802,0.6596500000000001,0.0396
64,0ZVjgfaC2Ptrod9v6p9KFP,0.127,0.775,0.817,0.00273,0.215,0.9179833333333334,1.0,0.0656,0.7001649999999999,0.386
65,0fdfXWcW9BFBGsdk7fh0B5,0.00286,0.562,0.783,0.948,0.86,0.8885333333333334,0.0,0.23,0.664315,0.435
66,5hbJxniiD9BWis6Nsf7HA8,0.00793,0.647,0.798,0.0196,0.105,0.8825166666666666,0.0,0.0393,0.63014,0.159
67,6BYzwbWg1Z2EB6VUXTYnhm,0.0203,0.444,0.826,0.0,0.382,0.9126833333333333,1.0,0.0771,0.74985,0.327
68,29LpCEcWnk9lFfzR2o3YVW,0.0116,0.555,0.984,0.586,0.54,0.9538,0.0,0.135,0.824945,0.337
69,1WY17VGE4rQjsyWi1Tw3be,0.00375,0.694,0.84,0.0163,0.116,0.9136666666666666,0.0,0.0364,0.6253150000000001,0.711
