,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,78fE6GJay1PbThXWGXOnM9,0.826,0.472,0.197,0.0293,0.144,0.8422666666666667,1.0,0.0342,0.3705,0.146
1,1kxtStKyjUkbPqMZXh5i4q,0.689,0.518,0.175,0.14,0.112,0.72185,1.0,0.0314,0.7227049999999999,0.413
2,6l8EbYRtQMgKOyc1gcDHF9,0.822,0.149,0.206,0.000649,0.115,0.7685333333333333,1.0,0.0323,0.39881999999999995,0.264
3,0hNVjU6JKydHts0SAjHCno,0.836,0.604,0.37,0.346,0.0954,0.6925,1.0,0.0362,0.451695,0.666
4,1Qyt1vzKvsNlZhMepIxpbo,0.604,0.369,0.452,0.00106,0.127,0.9297666666666666,1.0,0.033,0.743475,0.386
5,0gctFhy7ZomaBNuUrFnjrU,0.785,0.544,0.34,3.89e-06,0.734,0.76755,1.0,0.0411,0.485025,0.556
6,7mjSHL2Eb0kAwiKbvNNyD9,0.345,0.48,0.542,0.000609,0.113,0.8581666666666666,1.0,0.0348,0.7642650000000001,0.567
7,4wESSHqChrl4kwWmZ6otXc,0.607,0.626,0.419,0.000489,0.122,0.7688666666666667,1.0,0.0317,0.73068,0.645
8,2T5Ch09nefwckOu5NQvjIk,0.118,0.579,0.267,0.000562,0.132,0.7481666666666666,1.0,0.0348,0.374495,0.353
9,0uHYplBhwLYey7f9qAmnSM,0.558,0.564,0.357,0.0,0.233,0.7874666666666666,1.0,0.0326,0.64621,0.477
10,55FxZy3uzoCIxWR4zYZIjX,0.449,0.631,0.595,1.01e-05,0.476,0.8721666666666666,1.0,0.0357,0.5789,0.676
11,2qWKpYIleSvBT6aUMXoia5,0.541,0.617,0.421,0.00227,0.125,0.7628166666666667,1.0,0.0318,0.658265,0.39
12,0zVduthKvT1FEsUGFWT9Xo,0.574,0.311,0.249,5.35e-05,0.108,0.7324666666666666,1.0,0.0312,0.522555,0.0445
13,50LqU2nhdE3fmWOuqOjpjz,0.938,0.402,0.102,0.000278,0.112,0.6492,0.0,0.0401,0.6612399999999999,0.307
14,3uFjMR6c3fmF6Us3phdVWI,0.928,0.653,0.201,0.0304,0.106,0.7813166666666667,0.0,0.0275,0.44647,0.343
15,5M1gX3DQvgc7GI6dBWX9FL,0.497,0.478,0.272,1.91e-05,0.124,0.73065,1.0,0.03,0.527205,0.715
16,2xLU9wcdlFtuCIUDn05d2p,0.413,0.352,0.3,0.0,0.1,0.8452999999999999,1.0,0.0301,0.29343,0.295
17,7CNaYAdLyi86kofGafReiT,0.968,0.497,0.0919,0.00214,0.133,0.7385833333333334,1.0,0.0704,1.0321550000000002,0.548
18,1KueOLeUZpaNRK2InckxVT,0.374,0.488,0.209,5.05e-06,0.103,0.6741833333333334,1.0,0.0369,0.60315,0.362
