,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,7ofj9JjyUFJ5loeIM9cijS,0.0899,0.688,0.719,0.0,0.0451,0.8964666666666666,1.0,0.0665,0.37492,0.598
1,5tgXL0bJKzjwC2hZSYJzgl,0.0121,0.496,0.805,0.0,0.346,0.9205833333333333,1.0,0.048,0.699935,0.166
2,2GGvmXF70zQ13NS86nOw7k,0.0781,0.556,0.836,0.0,0.326,0.9341333333333334,1.0,0.0405,0.774945,0.683
3,2DBkMf9PHeJAc44vuYjfPL,0.881,0.457,0.267,5.43e-05,0.0865,0.8482,1.0,0.0305,0.66562,0.408
4,0tgjvCrVS32K4QzbTSxPVd,0.325,0.58,0.716,0.0,0.232,0.9384333333333333,1.0,0.061,0.720535,0.616
5,4qqUXcqW6EgN4qDsmozSlY,0.000277,0.19,0.69,0.0,0.148,0.8953166666666666,1.0,0.0364,0.46161,0.0577
6,1HvmrH54shSA0a1bwK91R0,0.0195,0.465,0.47,0.0,0.0915,0.8481,1.0,0.0379,0.6494150000000001,0.172
7,14ZwtJEQKZfIxV7fNXfWcI,0.304,0.609,0.776,0.0,0.0548,0.9322166666666667,1.0,0.0373,0.48009,0.437
8,0Hdpqso5qi1PyShUxluscB,0.0759,0.63,0.725,0.0,0.135,0.9173,1.0,0.0521,0.690805,0.454
9,2SLtt8zr8BMh1D2twQ4bcX,0.673,0.585,0.406,0.0,0.0736,0.8850333333333333,1.0,0.0286,0.7186,0.442
10,1PILWAtGLdG772MCA51sZ6,0.0263,0.609,0.776,0.0,0.167,0.92175,1.0,0.0416,0.45497,0.455
11,4q5b4EHkkv2Zb2dgHZjt0z,0.000889,0.474,0.922,0.0,0.306,0.9370333333333334,1.0,0.0623,0.639875,0.406
12,097YWoXrjEEvt4kQvvzkAs,0.0188,0.4,0.722,0.0,0.152,0.9046333333333333,1.0,0.0341,0.98028,0.527
13,51ONdniO0nr0kLPuHldyAm,0.155,0.499,0.731,0.0,0.0983,0.9309666666666667,1.0,0.0455,0.859195,0.393
14,3TF6zST4pvaoaUwekLUZEx,0.331,0.73,0.504,0.0,0.129,0.8688166666666667,1.0,0.116,0.42481499999999994,0.726
15,3bDIoTsXlEXYIvzdFqKBrS,0.18,0.692,0.534,0.0,0.245,0.8893,1.0,0.0341,0.480345,0.571
16,4Af0nbwppQs3hc5ga2mzby,0.013,0.439,0.616,0.0,0.092,0.9162333333333333,0.0,0.0296,0.37509,0.244
17,35SrlqVrYmRxAB4g54ow9z,0.00121,0.561,0.966,0.00117,0.272,0.93285,0.0,0.258,0.5201100000000001,0.0769
18,0LPrib5LGVzGhnrM6J8kl9,0.0187,0.353,0.744,2.16e-05,0.0672,0.8976999999999999,1.0,0.0516,0.59048,0.214
19,4W1VnLhislRPhU7vOsyytP,0.000631,0.475,0.753,8.49e-05,0.112,0.8994833333333333,1.0,0.04,0.379975,0.0499
20,7cg5YxLOssunPw1hI1DUm4,0.215,0.687,0.903,6.27e-05,0.773,0.94995,1.0,0.278,0.83982,0.569
21,2g1hAEomKQ03UXpfgHmhyn,0.4,0.406,0.624,0.0,0.0746,0.8631,0.0,0.132,0.7056950000000001,0.555
22,4moUecMb5PN5kDTQANggc3,0.00688,0.443,0.863,0.0,0.748,0.8898,1.0,0.0332,0.500105,0.164
23,0m1AnoBBUwVg5r5SOSyVrN,0.0149,0.437,0.576,0.0,0.0978,0.8531166666666666,1.0,0.0376,0.70526,0.0622
24,5hPNvjfHsshgegY71cKdhO,0.226,0.619,0.631,1.96e-05,0.128,0.885,1.0,0.0301,0.48995,0.6
25,4x2uqkTk7Lb2zTdgAA8GEj,0.118,0.691,0.805,0.000266,0.112,0.9178999999999999,1.0,0.0332,0.57031,0.6
26,0Z1ZBLSFEu16lc2JPbiWlw,0.345,0.519,0.474,0.0,0.133,0.8728666666666667,1.0,0.0364,0.7089749999999999,0.347
27,3WmxRZz8xq4jNJW2kVusQc,0.542,0.59,0.473,0.0,0.112,0.8720333333333333,1.0,0.0287,0.69036,0.25
28,2Vf59fzWMGDRtLwolStTGw,0.893,0.351,0.247,4.93e-06,0.111,0.8365333333333334,1.0,0.031,0.6741800000000001,0.171
29,3RCAjJWDwqFbYu1FkjXdF5,0.0262,0.601,0.712,0.0,0.0706,0.8521166666666666,1.0,0.0496,0.740005,0.415
