,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,6tiYQ631gOeBb2jCtaIs0R,0.531,0.893,0.513,0.0,0.153,0.8673666666666666,0.0,0.364,0.630305,0.758
1,2INe19w9F8ueR1Fgm9HXbh,0.112,0.711,0.599,0.0,0.111,0.8972666666666667,1.0,0.328,0.75034,0.247
2,1GlLIz7AtCYnwvXpz2rzbo,0.454,0.556,0.46,0.0,0.154,0.8957166666666667,1.0,0.466,0.40271,0.273
3,5qVQkDreRgn8TFxRFfgYQB,0.197,0.808,0.554,0.0,0.139,0.871,1.0,0.198,0.590825,0.13
4,5JYPXqMwYc0zTODQdjMEZN,0.123,0.789,0.763,2.22e-05,0.132,0.8971833333333333,1.0,0.199,0.700535,0.272
5,2nFrlrdIJG0mRi1rTWTLIx,0.0125,0.814,0.603,0.0,0.114,0.9124,0.0,0.36,0.8103549999999999,0.655
6,1saV6V91Azb0559mxmX4nF,0.0244,0.67,0.626,0.0,0.0859,0.9273833333333333,1.0,0.156,0.799485,0.168
7,7AtQxohgEu5dRYdcY4gB6G,0.0728,0.874,0.202,0.0,0.14,0.7197666666666667,1.0,0.798,0.674945,0.3
8,2g2Lp3kUkZ4HqtxBrDu5Tt,0.264,0.777,0.751,0.0,0.0729,0.8563166666666666,1.0,0.379,0.36993499999999996,0.82
9,6QdVy8gj2rEDDcrI5npDJS,0.135,0.68,0.684,0.0,0.373,0.8726833333333334,0.0,0.348,0.41950499999999996,0.522
10,3HCDcijVzbd59yvVn0nLPY,0.237,0.936,0.523,0.0,0.0978,0.92115,1.0,0.214,0.49529,0.172
11,2Z2MAil7tpZhHOB2noIJUd,0.494,0.345,0.674,0.0,0.133,0.88725,0.0,0.156,0.779785,0.318
12,1kwPxt35W7cG3rryxR48PO,0.416,0.971,0.671,0.0,0.128,0.9123333333333333,0.0,0.154,0.599825,0.754
13,0YuGBW9XmWiUMXGVsnt9P2,0.0953,0.832,0.601,0.0,0.103,0.8867833333333334,0.0,0.181,0.6499349999999999,0.439
14,2NYzTjbXL17B1ulwQSIi6P,0.252,0.628,0.664,0.0,0.198,0.8823666666666666,1.0,0.517,0.552755,0.771
15,6IEXjer2qbXhRLFv99NQQv,0.174,0.637,0.634,0.0,0.149,0.8645666666666667,1.0,0.426,0.890185,0.49
