,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,5hFkGfx038V0LhqI0Uff2J,0.992,0.384,0.0189,0.947,0.0967,0.48135000000000006,1.0,0.0395,0.312395,0.0834
1,3RI7rnK1YgmyRcXq9pkMqQ,0.984,0.435,0.0404,0.96,0.0952,0.5623,1.0,0.0358,0.479645,0.193
2,7hVcd9PDdO0xK8vE3WQqnV,0.994,0.297,0.0126,0.913,0.0785,0.5373333333333333,1.0,0.0442,0.858835,0.386
3,6fjZ39b5dT9uZzFsVRLwSi,0.995,0.461,0.0286,0.986,0.116,0.5813833333333334,1.0,0.0482,0.569255,0.471
4,1b1A6Z7pI8myEX3TSyweOk,0.991,0.386,0.0128,0.931,0.109,0.5223333333333333,1.0,0.0396,0.6318699999999999,0.189
5,67ntAUXUgYdO3YUt04zk5E,0.989,0.328,0.00746,0.883,0.134,0.5236000000000001,1.0,0.0356,0.47718499999999997,0.178
6,7iTKgLh1OzQHw1TwYFSMGa,0.993,0.398,0.00578,0.969,0.102,0.5760666666666667,1.0,0.0464,0.288505,0.27
7,1f12vrnCzIvlJ4zyCDTYvp,0.989,0.358,0.0122,0.922,0.0931,0.49906666666666666,1.0,0.0379,0.37889,0.21
8,597H3V2av5dnxNcIDa4Yrk,0.99,0.344,0.0893,0.927,0.0958,0.5521166666666666,1.0,0.0354,0.47207,0.178
9,3xZBHTUT1gLAmDbPz77ETo,0.994,0.47,0.0243,0.896,0.121,0.5959666666666666,1.0,0.0354,0.409025,0.331
10,5HbLcDxxjtJ0800p6RjoeH,0.992,0.327,0.0191,0.928,0.109,0.5484833333333333,1.0,0.0305,0.834195,0.151
11,2bjQvSk5T3A2dmnqqeRhzI,0.993,0.307,0.0381,0.945,0.104,0.53005,1.0,0.0423,0.362265,0.0631
12,4httQXCwO5j2i57mmJZvFL,0.99,0.505,0.0537,0.942,0.0927,0.5031833333333333,1.0,0.0481,0.71408,0.454
13,0Q2cbRo8CSarvKg6rGc4iK,0.991,0.428,0.0258,0.959,0.107,0.5085,1.0,0.0398,0.449615,0.179
14,6Xk5TR63iO5EAYfgi4Hjtl,0.99,0.368,0.0385,0.946,0.112,0.4171166666666667,1.0,0.0627,0.6133700000000001,0.136
15,5VKVUectaKrr9Mq9m3fnWT,0.973,0.51,0.108,0.968,0.11,0.6277666666666667,1.0,0.0345,0.50088,0.286
16,4zLErnaWoRXh91YcWZ2LKy,0.985,0.418,0.0373,0.96,0.101,0.6103666666666667,1.0,0.0399,0.719135,0.135
17,02VydYQOYaLGZX2MWoCCQ8,0.977,0.408,0.0632,0.927,0.175,0.5992666666666666,0.0,0.0371,0.6349750000000001,0.256
18,6rb8PeoAVfIyAJ0EqQCgU2,0.992,0.334,0.0593,0.963,0.0836,0.5815166666666667,1.0,0.0418,0.38777500000000004,0.107
19,4QB9QRh9xUuqKTXX9JBqyZ,0.993,0.532,0.0378,0.938,0.101,0.5930666666666666,1.0,0.0532,0.415925,0.196
20,5cm73dj9ydNYALjjUOVPhu,0.991,0.396,0.0424,0.961,0.148,0.5548,1.0,0.0447,0.31603000000000003,0.166
21,42cskWMuFydbI9f9um1sTj,0.991,0.265,0.0119,0.946,0.097,0.43723333333333336,1.0,0.0526,0.49966,0.35
22,0kpHSnJTru2qYTk0WFDsyA,0.984,0.361,0.0649,0.933,0.111,0.6125,1.0,0.0281,0.38743,0.354
23,7yplIuBnFYA8eUje0Vi0UP,0.994,0.415,0.0875,0.938,0.0946,0.5578000000000001,1.0,0.0344,0.51887,0.204
24,6zo1cdRzbCvGZmJVJEk8TS,0.99,0.509,0.0154,0.927,0.185,0.49191666666666667,0.0,0.0588,0.6627500000000001,0.37
25,0y7I045qDUH1carkgTB2UG,0.989,0.377,0.0751,0.908,0.0631,0.45986666666666665,0.0,0.0293,0.70827,0.516
26,1xR0V8wNOmGjNd9L6lo7wM,0.988,0.431,0.0248,0.933,0.107,0.5975,1.0,0.0354,0.40576500000000004,0.257
