,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,0GC0DyCot6CjE0ZfgLPkd4,0.479,0.435,0.453,0.245,0.115,0.7995333333333333,1.0,0.0491,0.51814,0.525
1,6FG0RYmtPG4UKRpLG2Syu7,0.912,0.326,0.455,0.883,0.104,0.8277666666666667,1.0,0.0421,0.75969,0.0318
2,5D7AFGloFpXtdT2PiKTEC3,0.00633,0.606,0.583,0.404,0.193,0.8601833333333333,1.0,0.0284,0.62987,0.807
3,4M6ywvPu0K14mUPJ6qnTjK,0.353,0.639,0.449,0.0101,0.204,0.8139,0.0,0.0905,0.879955,0.528
4,3s1Y7qnksD5YTAK7Dcd7Al,0.136,0.53,0.65,0.0295,0.108,0.8116333333333333,1.0,0.0931,0.794615,0.231
5,28gdOAMvTLUKrIZnGXRll9,0.742,0.758,0.517,0.82,0.117,0.7564166666666666,1.0,0.1,0.534865,0.632
6,6rioSjyjKCmkM52gZjJluM,0.0286,0.446,0.748,0.0549,0.202,0.8764666666666667,0.0,0.0426,0.515715,0.199
7,3oIBOfMJVSCUIAl8BF9eFf,0.00536,0.458,0.501,0.87,0.0936,0.8191999999999999,0.0,0.0686,0.648985,0.843
8,3il3S5dOcng2n3bbbhqp2O,0.839,0.691,0.534,0.165,0.0689,0.82575,1.0,0.0353,0.412425,0.777
9,4LiW3XCufA48rPYSagwMZR,0.494,0.331,0.438,0.631,0.0982,0.7999833333333334,1.0,0.0309,0.50769,0.125
10,6ugE62LTbi9yM1i4616KrK,0.00797,0.379,0.411,0.867,0.133,0.8384333333333334,0.0,0.031,0.6206499999999999,0.127
11,6xVgDPrFSlBinlx7lRzI1S,0.029,0.523,0.811,0.00504,0.235,0.9030833333333333,0.0,0.0964,0.7302299999999999,0.489
12,5yiRpEYb8n6NWuPx3u3EcW,0.047,0.359,0.679,0.00281,0.0894,0.8719333333333333,1.0,0.0413,0.726435,0.56
13,21k7x040W2grne2sr7qIip,0.0714,0.701,0.54,0.912,0.102,0.8613333333333333,0.0,0.0854,0.800265,0.489
14,0UpbT3Joops0jxblkZVhZL,0.281,0.577,0.395,0.924,0.0889,0.7933,1.0,0.0384,0.60907,0.107
15,1UjY15XsU2SYyaHflOxknJ,0.9,0.535,0.445,0.709,0.109,0.8362,1.0,0.0284,0.524905,0.486
16,76w0UOermXSeAZIj0HfynR,0.00334,0.391,0.837,0.831,0.253,0.8939,0.0,0.0634,0.422365,0.52
17,0f32CcNYyYuoLtl83BXWPL,0.731,0.668,0.513,0.00187,0.0822,0.8344166666666667,0.0,0.0502,0.78961,0.301
18,6h52zNa8ChwfY3SuQb1NzD,0.633,0.717,0.421,0.889,0.431,0.7858166666666666,0.0,0.0288,0.5999,0.422
19,1WR0Ow20xUHfXvYhKRHQYr,0.0137,0.565,0.736,0.673,0.103,0.84015,1.0,0.0389,0.830175,0.213
20,46ZgUJQCJMI6IMhqCEskzU,0.597,0.307,0.46,0.873,0.1,0.8027333333333333,0.0,0.0373,0.41558999999999996,0.265
21,0TuBBxv6FQ7hroCLA1GX4f,0.00839,0.672,0.487,0.845,0.679,0.8084,1.0,0.0702,0.561665,0.487
22,4S4Cmnk1vHIToGPttXLHnh,0.131,0.781,0.949,0.919,0.169,0.9301,1.0,0.044,0.500015,0.763
23,7MfOcicIHjkkm1NPaQDx64,0.966,0.449,0.0948,0.89,0.105,0.5948,1.0,0.0408,0.6103999999999999,0.192
24,61MTLrkxDy0A3GyGC13flH,0.459,0.817,0.582,0.646,0.137,0.8705666666666667,1.0,0.0354,0.54021,0.683
25,12BaQt9aYdTlEtKreqB5V4,0.711,0.502,0.474,0.787,0.112,0.8096,0.0,0.0543,0.590395,0.312
26,1wyuwXGn0gPzCPxiPDmNHc,0.749,0.58,0.384,0.909,0.123,0.7822,0.0,0.0352,0.680485,0.698
27,1wWGkPC7eBVvDZoEhROvGv,0.565,0.593,0.5,0.039,0.361,0.8499166666666667,1.0,0.154,0.52556,0.322
28,1x6POqThB0hnrwry79YTPD,0.00606,0.658,0.761,0.679,0.0929,0.8512166666666667,0.0,0.0473,0.639985,0.219
29,0qEYroDLzjD7qexoNrMwtE,0.0581,0.311,0.83,0.234,0.0924,0.8859833333333333,0.0,0.0718,0.85407,0.473
30,6Cfjbe0yuS82fNIdbFWImO,0.749,0.62,0.242,0.245,0.106,0.7652,1.0,0.0392,0.316975,0.36
31,1xMSayO9HnbfvyHqqDW5mm,0.0103,0.57,0.806,0.906,0.114,0.8862166666666667,0.0,0.0296,0.52171,0.483
32,77QJgfFBYZQU0zXByezYGs,0.574,0.662,0.673,0.00119,0.101,0.8353833333333334,0.0,0.466,0.468645,0.59
33,3AniDSYZmzsDI06ENTimiz,0.347,0.54,0.488,0.826,0.114,0.8989833333333334,1.0,0.134,0.538825,0.773
34,3DnuqXWHLKjG23FweTBfEs,0.0941,0.513,0.497,0.844,0.0857,0.7595166666666666,1.0,0.0315,0.660855,0.253
35,2YObcKnHXmqWDaUKnRLeYh,0.768,0.4,0.375,0.91,0.0994,0.75,0.0,0.0358,0.79265,0.448
36,4r4pcD6Q0TK5MSfhJ6W16Z,0.776,0.691,0.5,0.917,0.0931,0.8059,0.0,0.0361,0.500445,0.836
37,3O3ExdXN8fuWCHnEFn8z9D,0.719,0.51,0.508,0.425,0.0539,0.8161666666666667,0.0,0.274,0.8990300000000001,0.351
38,77iu6yezCTvVSrikAWivdX,0.21,0.684,0.67,6.08e-06,0.0865,0.85225,0.0,0.245,0.585735,0.439
39,0bBksTjMnvGUORqrxcxBI3,0.597,0.65,0.787,0.886,0.0877,0.8358833333333333,0.0,0.0357,0.582605,0.963
40,4qQvcciZv5CKP5JOs6b1KS,0.947,0.581,0.132,0.8,0.109,0.7161666666666666,0.0,0.0532,0.517245,0.34
41,0Ap3NnGPsi3q9bmZBeOtHP,0.995,0.335,0.0306,0.955,0.0971,0.5574166666666667,0.0,0.0485,0.32720999999999995,0.218
42,10d2cJq5gUpMfJ7sO1VtIK,0.431,0.747,0.328,0.915,0.102,0.8452166666666666,1.0,0.0428,0.424295,0.529
43,12OoLgIQAG7xmEi7ZyFeNX,0.206,0.626,0.606,0.842,0.164,0.8158,0.0,0.0612,0.478825,0.37
44,2ih7916Ch16x9n75yhc3Ok,0.554,0.57,0.773,0.819,0.225,0.8618,0.0,0.0463,0.474675,0.395
45,6EPWNZTkW8ugUmpQlagLiz,0.372,0.474,0.667,0.0333,0.222,0.8502166666666666,1.0,0.147,0.61931,0.451
