,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,0LW6E8rEAltX9Svci5M3Z1,0.058,0.652,0.968,0.0,0.144,0.9352833333333334,1.0,0.0857,0.49981000000000003,0.731
1,3VuQoOFwJdcQ5IOamXlWZa,0.0554,0.793,0.88,3.67e-05,0.497,0.9548,1.0,0.0319,0.550125,0.891
2,2OFK4w8BI3gU4kn0ieHSJc,0.216,0.803,0.431,0.0,0.0864,0.86215,0.0,0.328,0.6693049999999999,0.561
3,10dxjxvKWTuJmG6vBKMz8j,0.216,0.852,0.76,1.69e-06,0.245,0.8855999999999999,1.0,0.0355,0.5251100000000001,0.941
4,2I0ZI9OGrihh0Dbn8RVSr8,0.0238,0.673,0.995,0.0,0.303,0.9566666666666667,0.0,0.129,0.720035,0.359
5,5uvNlHJPu9mOcYT64rxRbl,0.0142,0.809,0.883,0.0,0.12,0.9137333333333333,0.0,0.214,0.525595,0.888
6,5Qy3PCR9u6KeNAjRV405uv,0.0482,0.813,0.846,0.0,0.0963,0.9319666666666666,0.0,0.039,0.515,0.865
7,2lo3hI7t1AQCCoeqrxYexu,0.0203,0.815,0.911,1.17e-05,0.22,0.9438833333333333,1.0,0.0586,0.59002,0.871
8,5VOTPW5potAFI9gH3QrjV5,0.0361,0.794,0.925,0.0,0.285,0.9193,0.0,0.121,0.515125,0.787
9,2ppv5E2a22qoXwYdL6GjvS,0.0111,0.768,0.937,1.18e-06,0.177,0.90605,0.0,0.0523,0.66523,0.77
10,6whFRgwg7je2SYzpSfansM,0.0813,0.706,0.835,0.00165,0.336,0.9273833333333333,1.0,0.0506,0.469715,0.771
11,3b0Bt0CBAEesLLO0CifT5r,0.0334,0.638,0.781,0.000351,0.085,0.8939333333333334,1.0,0.0519,0.43996999999999997,0.813
12,6jNlqfd6N7IUe0mEm0z8So,0.0576,0.762,0.867,5.47e-05,0.152,0.9483666666666667,1.0,0.0486,0.49998,0.716
13,4ozA939dJl4dnAtwM8LObN,0.0267,0.696,0.569,0.0,0.0265,0.9127666666666667,1.0,0.145,0.83989,0.78
14,37Bv9wyQg01DjaMe4uj93a,0.427,0.684,0.818,0.0,0.269,0.84895,1.0,0.0625,0.514945,0.634
15,2aS8459W3fVdMa2r8sRSd8,0.0698,0.554,0.907,0.0,0.121,0.8991333333333333,1.0,0.316,0.90012,0.53
16,1ul8G5Eam9xzVGnG11Ull9,0.0501,0.651,0.981,0.0,0.35,0.9593833333333334,0.0,0.133,0.509775,0.556
17,0K25zmumCzn2kFmh9zcLWy,0.134,0.741,0.977,0.0,0.145,0.9613666666666667,1.0,0.044,0.59994,0.951
18,5TnG4hgREznnqDYe9IYlZc,0.0181,0.74,0.69,0.0,0.0883,0.8959833333333334,1.0,0.0439,0.47485,0.656
19,3LjJ0Hjqot5HDeL172lAcw,0.128,0.84,0.775,3.11e-06,0.0509,0.9256666666666666,0.0,0.0555,0.47070500000000004,0.908
20,3ZfzsuGzbBiyPCtUgIoZGU,0.0361,0.808,0.922,0.0,0.142,0.91615,0.0,0.0617,0.529845,0.824
21,6NZUXr27vdx8gyWxVRrkLS,0.335,0.64,0.575,1.22e-06,0.142,0.894,1.0,0.0296,0.69485,0.478
22,5I8mg57tDvhGGGC3x14mIZ,0.124,0.757,0.911,0.0,0.284,0.93325,0.0,0.0881,0.509085,0.728
23,5rvP5mbQ48itt4dtosn9Yf,0.021,0.73,0.844,0.0,0.36,0.9305666666666667,0.0,0.112,0.50021,0.679
24,6A1uiSNxlOU8sndZRh9oZB,0.126,0.827,0.584,0.0,0.0836,0.8610833333333333,1.0,0.228,0.51027,0.692
25,5Z9XEChtLbIozP1JQlEjFP,0.0459,0.618,0.89,0.0194,0.0749,0.92025,1.0,0.035,0.6900799999999999,0.649
26,115a4lQhDJGnu4QVSa8bUW,0.0247,0.751,0.912,0.0,0.0778,0.9696333333333333,0.0,0.0391,0.54001,0.804
27,6pBKrXpNe0BHNfi8hJ5IEY,0.0449,0.813,0.84,0.0,0.318,0.9330499999999999,0.0,0.164,0.484755,0.826
28,2xoCyFfFSJdsXgkKNF0eWF,0.0244,0.683,0.989,0.000278,0.0565,0.9457,0.0,0.108,0.70006,0.602
29,0qD5kstOSUeLUQgW3cuhcD,0.0112,0.773,0.857,0.00798,0.364,0.9019333333333334,1.0,0.032,0.675035,0.909
30,2khPCdofF2cFTDKjINZavV,0.00105,0.708,0.983,7.27e-06,0.0838,0.8937666666666667,1.0,0.0529,0.65007,0.708
31,5NEyoTXkeo2L6UkRgRgSKD,0.0937,0.765,0.839,0.00474,0.853,0.8900833333333333,0.0,0.0627,0.526525,0.82
32,4DRw26g8obnUsqKBJp6knP,0.705,0.745,0.558,0.0,0.429,0.8872,1.0,0.154,0.40001,0.577
33,6FNzGOfb27z0xahzEHv9si,0.00234,0.803,0.913,0.0412,0.338,0.9294166666666667,0.0,0.0377,0.565295,0.932
34,7BrWFGg6iIfSVDO7IVKAbN,0.0824,0.761,0.947,0.0,0.0829,0.9255,1.0,0.0634,0.559955,0.822
35,0bjz3D1sw6AoSGhhKzikbt,0.0216,0.816,0.886,1.09e-06,0.0993,0.9523333333333334,0.0,0.18,0.540225,0.823
36,4EpwZakcikSrgDCqcLXAok,0.0128,0.604,0.99,0.0,0.373,0.96305,1.0,0.0372,0.70001,0.801
37,4QyJ9NbwZSXu9wcQpHiwqP,0.185,0.807,0.715,0.0,0.0702,0.8576,1.0,0.0703,0.630375,0.531
38,0WI4YqBDb79uzP6w0wTYfP,0.0114,0.64,0.941,2.82e-06,0.492,0.917,1.0,0.0604,0.579885,0.646
39,6PxV0qSZZ4Wv4mtv4UcKWo,0.209,0.763,0.822,0.00253,0.139,0.9178166666666667,1.0,0.0344,0.51494,0.879
40,5PmzpRLsWoWhgjpFZ6Hh9i,0.0359,0.808,0.888,0.0,0.283,0.9330166666666666,0.0,0.0504,0.560295,0.946
41,4RtHEggWfFWknuAsRdkyku,0.114,0.727,0.84,0.0,0.0621,0.92845,1.0,0.0964,0.514965,0.807
42,6Oy1lOvrRblOf8hgRP0KYD,0.0042,0.656,0.977,0.0,0.842,0.9140833333333334,0.0,0.0573,0.57511,0.309
43,3tdjYReotb6TUeDNUl3bRV,0.229,0.722,0.88,0.0,0.231,0.9567,1.0,0.031,0.56015,0.802
44,7L4fxoCYiWzFWepXU3yv9m,0.331,0.688,0.731,2.95e-06,0.0689,0.8809666666666667,0.0,0.0591,0.45037,0.728
45,4vLqN0bIxIQjlet2mIMBnx,0.125,0.835,0.934,0.000501,0.222,0.9790333333333333,1.0,0.0431,0.6249,0.811
46,33dU6vAuJLgSIDXcOPFKqf,0.0165,0.632,0.709,0.0,0.0817,0.9449,0.0,0.25,0.889955,0.633
47,3Hyl7YrOtBcnh1geON2kSO,0.136,0.641,0.645,0.000145,0.145,0.891,1.0,0.0366,0.450135,0.546
48,5AjjiajghftDZd5qO5YRCQ,0.00909,0.741,0.933,0.0,0.262,0.9715166666666667,1.0,0.0439,0.549975,0.757
49,6HW5rmg4NtHTWQExmbh9Wa,0.0156,0.872,0.751,1.29e-05,0.0442,0.9294333333333333,1.0,0.0582,0.55016,0.632
50,0ijms7rWvEqB7TIIE3kCbG,0.0627,0.771,0.973,4.97e-06,0.192,0.9663166666666667,1.0,0.049,0.5949450000000001,0.705
51,7sQaZvlFFqlBsObK8A3y0S,0.164,0.738,0.919,0.0,0.0712,0.9312333333333334,0.0,0.0442,0.550245,0.866
52,0c8ia5g3W4SvtH1Urf7w2m,0.0494,0.891,0.656,0.0,0.274,0.8827833333333334,0.0,0.164,0.52001,0.823
53,6UF4dbXnxEL2kTKDoGAUS8,0.0407,0.751,0.675,0.0,0.306,0.8611666666666666,1.0,0.0482,0.625145,0.685
54,7ox3wrRvfAhYJ20H23KkhZ,0.524,0.706,0.698,0.0,0.236,0.9355,0.0,0.0447,0.47994,0.595
55,0TpJgjTSFekS05ZyQFIUzp,0.0683,0.722,0.655,0.00326,0.041,0.9547666666666667,0.0,0.068,0.40511,0.739
56,5R9cUtY574Wd6olnaJG6sQ,0.161,0.9,0.74,1.38e-06,0.155,0.9148666666666667,1.0,0.0754,0.65479,0.946
57,1L4d2lafz1odpIMe8va21X,0.166,0.687,0.914,0.0,0.0858,0.9163333333333333,1.0,0.0437,0.630005,0.675
58,34ur063WdATV4hGzCeEAsx,0.0192,0.88,0.695,0.00972,0.0515,0.9021666666666667,0.0,0.052,0.699905,0.963
59,54SpjxPioot7g7hVfbrXHh,0.159,0.781,0.849,0.0,0.93,0.9059333333333334,1.0,0.0568,0.62493,0.665
60,2UuKZDzjZ7cVMOvpmuAMYj,0.104,0.792,0.924,0.000224,0.336,0.8855666666666666,0.0,0.0327,0.635015,0.968
61,3AmxvnqctdvnJnyNPaHTbv,0.000252,0.753,0.808,0.000194,0.0371,0.9456,1.0,0.0812,0.55428,0.603
62,0B7QAF2ByMFCp1Ls5ov6R7,0.0138,0.565,0.783,0.0,0.434,0.9608666666666666,1.0,0.256,0.982825,0.832
63,69QlYqNJeZG14R4an2aoJv,0.223,0.665,0.866,0.0,0.373,0.9365,1.0,0.056,0.640205,0.455
64,7n8mDoVNjR0WtD1kw4nT1F,0.0358,0.687,0.851,0.0,0.153,0.9335666666666667,0.0,0.111,0.64004,0.479
65,3lezH4ocsAaxqVGL8E0pS4,0.149,0.724,0.792,1.84e-06,0.11,0.9630166666666666,1.0,0.084,0.500045,0.58
66,5liz7gUkM2OPy8TIDqVa1F,0.253,0.691,0.825,0.0,0.339,0.9345166666666667,0.0,0.033,0.62438,0.587
67,4yHrnHRkY8ZEZUHPdsRno2,0.0261,0.75,0.944,0.0,0.416,0.9560833333333333,0.0,0.0455,0.640075,0.921
68,5YmdSZOeb1CZW1AbP6c9EG,0.00974,0.824,0.95,0.000118,0.199,0.9306166666666666,0.0,0.0308,0.640155,0.97
69,7wqBDFp7JZfWp3aPaC4gHQ,0.243,0.752,0.75,0.0,0.296,0.9383,0.0,0.068,0.525005,0.788
70,2s92cRmjW0GoGjjpExkAUQ,0.0678,0.652,0.901,0.0,0.0765,0.95035,1.0,0.0678,0.499665,0.799
71,5m2tbM2w8mG76uwFgla2iF,0.0813,0.65,0.79,0.0,0.311,0.9253,1.0,0.0294,0.5446949999999999,0.387
72,4eIyItvPfLiRpBsvk81voz,0.00325,0.798,0.694,0.0365,0.348,0.9161333333333334,1.0,0.0415,0.5997399999999999,0.346
73,4vfyrKuMEL6tAo65jMALsy,0.0633,0.828,0.898,0.0,0.0758,0.9595166666666667,1.0,0.042,0.5697399999999999,0.914
74,1ru2r3r1Njis2C4IbGzgfS,0.02,0.837,0.825,0.0,0.302,0.9740833333333333,0.0,0.0465,0.5851700000000001,0.495
75,4OqRMlyNvV36bP1DtJFp4t,0.0589,0.781,0.991,0.00104,0.125,0.9749666666666666,0.0,0.069,0.630315,0.805
76,5w18nowVMRZrC5Na9Vxoth,0.0226,0.706,0.972,2.57e-06,0.267,0.9606833333333333,0.0,0.0352,0.64973,0.962
