,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,4tjTsxTBcacHcx0AvWERLE,0.000942,0.411,0.702,5.2e-06,0.298,0.8819166666666667,0.0,0.04,0.374825,0.214
1,1r3PWB1ZzxrPsIj2DNoa10,7.62e-05,0.489,0.987,0.0,0.788,0.9238333333333333,0.0,0.0806,0.69991,0.297
2,4QCUR8rFIqwHO3qsDOmXhM,3.52e-05,0.553,0.979,0.00712,0.249,0.9030666666666667,1.0,0.0713,0.57497,0.325
3,18zjwSgYiwu1Meb7Po3tUP,1.15e-05,0.386,0.996,0.000836,0.116,0.9506666666666667,0.0,0.0754,0.652865,0.188
4,1rBYsCI24Fw07Hg4e1Dwlh,4.31e-05,0.568,0.947,0.859,0.464,0.9541166666666666,0.0,0.0627,0.575205,0.258
5,1zd8h6ho3mlbhkZnADHVzP,4.33e-05,0.474,0.962,0.000308,0.113,0.9214,1.0,0.0638,0.474955,0.253
6,2DlHlPMa4M17kufBvI2lEN,0.000278,0.417,0.934,0.0015,0.132,0.9348666666666666,0.0,0.119,0.6353300000000001,0.287
7,0FCY8j3JRrZ2ynRUdMK9pS,0.000103,0.407,0.95,0.191,0.516,0.8833666666666666,1.0,0.193,0.958705,0.246
8,5cZqsjVs6MevCnAkasbEOX,0.0127,0.432,0.884,0.000527,0.166,0.8890166666666667,1.0,0.13,0.54474,0.624
9,5qZMqZspIglsy4SJxtJt0S,4.66e-05,0.489,0.968,0.00221,0.0904,0.9265,1.0,0.108,0.475325,0.184
10,7ACxUo21jtTHzy7ZEV56vU,0.408,0.454,0.913,0.000271,0.248,0.9332,1.0,0.107,0.6884399999999999,0.521
11,36sAFU68abNDrMOJI5QYZi,0.0831,0.341,0.558,0.36,0.129,0.8567166666666667,0.0,0.039,0.6253799999999999,0.0894
12,1158ckiB5S4cpsdYHDB9IF,1.33e-05,0.443,0.781,0.205,0.166,0.9287166666666666,1.0,0.0377,0.359205,0.372
13,6W21LNLz9Sw7sUSNWMSHRu,2.23e-05,0.353,0.898,0.105,0.39,0.90205,1.0,0.052,0.5164650000000001,0.525
14,4GssB27iJeqmfGxS94Tfij,0.00821,0.461,0.897,0.0,0.0965,0.9336333333333333,0.0,0.092,0.825535,0.358
15,5anCkDvJ17aznvK5TED5uo,0.000297,0.58,0.916,0.0259,0.126,0.9273666666666667,0.0,0.0387,0.59002,0.683
16,7fcfNW0XxTWlwVlftzfDOR,0.000155,0.43,0.704,0.00221,0.0933,0.8665333333333334,0.0,0.0804,0.59121,0.703
17,4sg5Vfd2fM6Y8gMz5VYXz6,0.000981,0.614,0.899,0.585,0.114,0.9135666666666666,0.0,0.0384,0.5746600000000001,0.671
18,6EPRKhUOdiFSQwGBRBbvsZ,4.02e-05,0.342,0.91,0.000121,0.0823,0.8708666666666667,1.0,0.0758,0.70226,0.547
19,2gscB6kDOmrv1P6qs2KXE3,0.00208,0.382,0.996,0.0,0.417,0.93135,1.0,0.104,0.466725,0.327
20,1Y373MqadDRtclJNdnUXVc,4.52e-05,0.412,0.658,0.000774,0.176,0.79915,0.0,0.0708,0.8153549999999999,0.454
21,2RaA6kIcvomt77qlIgGhCT,0.024,0.362,0.961,9.35e-06,0.159,0.9056,1.0,0.0857,0.820095,0.491
22,70Z9t1qhytWtG4cCmmi7mU,0.00512,0.504,0.911,0.0123,0.355,0.9505,1.0,0.0738,0.53122,0.671
23,54bm2e3tk8cliUz3VSdCPZ,0.00067,0.539,0.828,0.421,0.154,0.8482,0.0,0.035,0.52625,0.562
24,6XcoiOYiNbIxzpt8WRxq8Z,0.00224,0.638,0.891,0.11,0.325,0.8849833333333333,0.0,0.0422,0.625575,0.735
25,2SgbR6ttzoNlCRGQOKjrop,0.00437,0.415,0.908,0.0345,0.082,0.8383166666666666,1.0,0.0765,0.57408,0.437
26,3vV3cr2TpPqFk07zxYUbla,0.00719,0.409,0.92,0.00105,0.0823,0.90935,0.0,0.12,0.725425,0.37
27,6TCPTqQTI2PHbOe2mUFDu6,4.32e-05,0.485,0.803,0.749,0.201,0.9445666666666667,1.0,0.0383,0.84958,0.443
28,5Z8EDau8uNcP1E8JvmfkZe,0.05,0.294,0.745,0.125,0.676,0.8477,1.0,0.0461,0.67182,0.347
29,6zKF4293k44ItKWJJgrhXv,7.61e-05,0.197,0.956,0.00992,0.261,0.9515333333333333,0.0,0.0663,0.88509,0.209
30,2V8KvnD5LVeeDChMWEkSzC,0.0202,0.576,0.974,0.0,0.348,0.9535833333333333,1.0,0.0828,0.64544,0.531
31,7uIF6RDrW2PwvvYEMkanr8,0.000595,0.558,0.886,9.91e-05,0.0904,0.9300666666666667,0.0,0.0482,0.570205,0.171
32,5KTBaWu8IOczQ0sPWzZ7MY,0.0205,0.63,0.823,0.00458,0.0377,0.91905,1.0,0.0496,0.58524,0.565
33,1BrgjqSg9du0lj3TUMLluL,0.00318,0.536,0.849,0.00197,0.104,0.9216333333333333,1.0,0.0616,0.63501,0.305
34,44NRdYQw7P0GWuiunRv3hr,2.86e-05,0.217,0.92,0.0,0.102,0.92535,1.0,0.0628,0.8358450000000001,0.376
35,6VZivrPxu9MJ5rIPIERg56,0.0221,0.5,0.946,4.21e-05,0.068,0.9095333333333333,1.0,0.072,0.47272,0.45
36,5ofoB8PFmocBXFBEWVb6Vz,0.000123,0.532,0.759,0.02,0.073,0.9359666666666666,0.0,0.0319,0.47505000000000003,0.293
37,0L7zm6afBEtrNKo6C6Gj08,0.000195,0.435,0.987,0.0847,0.268,0.9222166666666667,0.0,0.16,0.5158,0.101
38,4ReyTz0y3TGkX48wO3Llot,0.0222,0.358,0.893,0.0524,0.126,0.8752333333333333,0.0,0.12,0.87119,0.262
