,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,2i8f4VnnBjy0yDqH2C452a,0.00196,0.628,0.878,1.23e-05,0.0649,0.9422,1.0,0.0901,0.64988,0.796
1,7mLPSkAJraASgNk6ywyTkp,0.0754,0.634,0.725,0.0,0.208,0.9186666666666666,0.0,0.0577,0.79949,0.845
2,2buC0ru4cVutdUhxIjH9Bj,0.00262,0.681,0.822,0.0,0.159,0.9053333333333333,0.0,0.227,0.49476,0.427
3,3YgtkOxZsTuaZdL8McA1FQ,0.582,0.747,0.867,0.00413,0.114,0.87815,1.0,0.088,0.620075,0.684
4,2d7skuHfmB45wv4KyC2v13,0.439,0.623,0.539,0.0,0.162,0.8925166666666666,1.0,0.277,0.39996499999999996,0.546
5,6cU5urANuL1UYaBg5DNre4,0.213,0.762,0.646,0.0,0.192,0.8948166666666667,1.0,0.0465,0.6301,0.623
6,2I3LMMYVOZBsnAkHmKaSke,0.336,0.644,0.666,0.0,0.131,0.9215333333333333,1.0,0.0525,0.73027,0.543
7,2N0SPREDYqILVEFSsWF5N5,0.183,0.633,0.607,1.38e-06,0.167,0.8969666666666667,0.0,0.0532,0.370145,0.363
8,11B7WTuoInwUvuP1BnnGWW,0.0171,0.684,0.63,0.000927,0.194,0.8976166666666667,0.0,0.0589,0.749735,0.177
9,1xaI8BC30DDf9RDQSWyonb,0.0578,0.642,0.698,2.14e-06,0.074,0.89325,1.0,0.0482,0.77952,0.606
10,1aNUSKBe6UMyMk3pEu9ws7,0.00618,0.762,0.895,0.145,0.203,0.9239666666666666,1.0,0.0737,0.629895,0.755
11,56oomeTRgamzypt6iObrvA,0.0127,0.774,0.723,0.124,0.152,0.8674666666666666,0.0,0.0501,0.6399900000000001,0.264
12,6UoKX6uLJwhsnyTp5k5StP,0.0415,0.512,0.709,4.25e-06,0.107,0.9039,1.0,0.0329,0.489905,0.261
13,5C9anXz5T3PY3A5YkH66cn,0.661,0.722,0.417,0.0268,0.1,0.87155,1.0,0.103,0.409475,0.28
14,4b2rlKIqyLxpxoIaG7sZ5K,0.000485,0.673,0.908,0.781,0.113,0.894,0.0,0.0387,0.630065,0.045
15,1NQCinyxiglxekxXVPEhnC,0.00758,0.582,0.443,0.5,0.0499,0.8024,1.0,0.0983,0.5599000000000001,0.26
16,15NYGHy9F4vQstNvznsTZw,0.921,0.757,0.562,0.0751,0.375,0.9164,1.0,0.0391,0.568795,0.75
17,1UWf4dn9d17amlGBLY4U1I,0.0836,0.295,0.708,0.0,0.139,0.9111166666666667,1.0,0.158,0.400685,0.258
18,4kZgxSySjVSLRpegVw8SsX,0.151,0.749,0.391,0.0241,0.402,0.8404166666666667,0.0,0.0524,0.610845,0.586
19,4sX6GorfHFAy9UdJM00c3v,0.023,0.79,0.724,0.0,0.448,0.9396333333333333,1.0,0.0353,0.7000449999999999,0.148
20,2EGKdHT9uWNKHvxEFkCbXK,0.00211,0.599,0.742,0.0,0.127,0.90545,0.0,0.256,0.40667000000000003,0.437
21,6gmwkJCHUJa6f9RP4UrjSk,0.501,0.832,0.655,8.35e-06,0.162,0.8705833333333334,1.0,0.408,0.7354949999999999,0.86
22,7jzOZuWgZ5gaMet9V5Ix1d,0.00125,0.745,0.619,0.000295,0.117,0.9036333333333333,0.0,0.0479,0.62,0.797
23,6Za2226TkUi5miWrAnUy5k,0.479,0.504,0.487,0.00116,0.0927,0.8681333333333333,1.0,0.22,0.41118000000000005,0.503
24,6ErCfbbI9BG4bK2djjKUvP,0.204,0.348,0.381,0.0,0.133,0.8718666666666667,1.0,0.0552,0.42448,0.494
25,7MX0wxRiKE9c7dmiLV3NrX,0.0184,0.74,0.741,0.0,0.268,0.9183333333333333,1.0,0.0417,0.7002349999999999,0.961
