,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,6SpLc7EXZIPpy0sVko0aoU,0.00272,0.517,0.906,9.26e-06,0.113,0.9387166666666666,1.0,0.0735,0.864885,0.731
1,4LJhJ6DQS7NwE7UKtvcM52,0.0126,0.391,0.951,0.000378,0.0878,0.87635,1.0,0.0692,0.7883,0.468
2,2OMqSRS11ly56zg9u5za6c,0.00105,0.431,0.95,3.63e-05,0.272,0.9180333333333334,1.0,0.26,0.9596800000000001,0.56
3,3Zwu2K0Qa5sT6teCCHPShP,0.00511,0.459,0.891,0.0,0.106,0.9157166666666666,0.0,0.0623,0.7741849999999999,0.588
4,6hwQ69v7VbPhTTR2fOtYX7,5.59e-05,0.491,0.966,0.0,0.307,0.9286666666666666,1.0,0.0538,0.52772,0.614
5,7lRlq939cDG4SzWOF4VAnd,0.00602,0.21,0.94,0.0,0.269,0.9428833333333333,1.0,0.123,0.89861,0.255
6,1eylM8qwVdD1AXDy3vjSgT,0.00677,0.439,0.945,0.0,0.166,0.9631666666666666,1.0,0.138,0.80977,0.455
7,6otiaV2fagE3s8IvP6WkwG,0.00107,0.527,0.834,0.000102,0.0993,0.9078166666666667,1.0,0.0447,0.550325,0.422
8,4VgEM12OeaN3GyBV487Me7,0.000143,0.552,0.89,0.0,0.888,0.9431833333333334,1.0,0.0342,0.7326250000000001,0.716
9,0JJP0IS4w0fJx01EcrfkDe,0.00725,0.459,0.895,0.0,0.206,0.9479,1.0,0.0805,0.9052,0.572
10,4XOZaPYeMn9hcbpyS90NnD,8.48e-05,0.344,0.972,0.0,0.293,0.93875,0.0,0.116,0.8390949999999999,0.387
11,1VpTwecl7EbQiGyVsvwFQE,0.000367,0.416,0.967,0.0,0.0632,0.96185,0.0,0.109,0.85516,0.431
12,4wzjNqjKAKDU82e8uMhzmr,0.000665,0.545,0.932,0.0,0.127,0.9635166666666667,0.0,0.0399,0.46478,0.464
13,4pImG3RdbaGfanzQOTFgyr,0.000193,0.404,0.98,0.0,0.0742,0.9327,1.0,0.107,0.888965,0.433
14,0wVluBsVAVzBKrqspuCcwR,0.00197,0.352,0.912,0.0,0.193,0.9291166666666667,1.0,0.0725,0.8339749999999999,0.351
15,7w0gu9n8vp3sE0xZFCxcFu,0.0456,0.54,0.833,0.0,0.103,0.90515,1.0,0.0391,0.67498,0.448
16,2m1hi0nfMR9vdGC8UcrnwU,0.0103,0.434,0.897,0.0,0.612,0.9180333333333334,1.0,0.0488,0.74363,0.684
17,5dJqHtAc4toOPTRX9xfOB6,0.000439,0.509,0.817,5.56e-06,0.0947,0.9088,0.0,0.0502,0.7759950000000001,0.597
18,05qCCJQJiOwvPQBb7akf1R,6.54e-05,0.426,0.868,0.0,0.0723,0.9383,1.0,0.047,0.74521,0.402
