,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,0Ttmsrh12z26jzhu0LkEar,0.621,0.516,0.271,0.0793,0.104,0.8351833333333334,1.0,0.0329,0.52493,0.0967
1,4BMhR515OiK2TII7qzQujj,0.0626,0.681,0.734,0.00175,0.295,0.8789666666666667,0.0,0.0594,0.38493499999999997,0.801
2,6CBBTbmqTTSCzkSyfpUs8n,0.243,0.421,0.561,0.0013,0.273,0.8470833333333333,0.0,0.169,0.99072,0.499
3,1h2WWba7PtW9uTapvlvtwL,0.281,0.44,0.403,0.000424,0.203,0.8737333333333334,0.0,0.0689,0.327745,0.397
4,0BxOS9BMSKeRjxhraqlARz,0.0991,0.684,0.56,0.0,0.11,0.9005,0.0,0.0561,0.58539,0.342
5,0pvgbTB2y9DNDDXb9T7FJW,0.35,0.869,0.634,0.439,0.0878,0.8451666666666666,0.0,0.19,0.5202100000000001,0.785
6,4RVcEWtAcGr5TwbAk5oQhH,0.884,0.615,0.434,0.000212,0.0877,0.8033833333333333,1.0,0.0714,0.54943,0.287
7,5mxHLRlVKFyrRsNEwkhwWA,0.414,0.311,0.575,0.364,0.0925,0.8360166666666666,0.0,0.0542,0.899045,0.398
8,2gg1qS6anzlHRHD40RIbh1,0.367,0.354,0.71,0.0,0.0984,0.8807333333333334,1.0,0.0805,0.6824250000000001,0.398
9,02lRSjq8bVCZOMUcYzReAb,0.233,0.824,0.494,0.00275,0.0764,0.8035666666666667,1.0,0.0741,0.600035,0.443
10,5eJAtLcl5sGHf1rs4rB7D1,0.519,0.595,0.301,0.000264,0.173,0.8331,0.0,0.13,0.867375,0.392
11,15Z1gdxnQDrjzI2nvWvn0c,0.396,0.75,0.804,0.56,0.0734,0.83375,1.0,0.0494,0.58501,0.496
12,3J8UxzkEWpe00UB1IfeOQz,0.0798,0.626,0.827,0.0273,0.327,0.8599833333333333,1.0,0.0713,0.79904,0.518
13,3vwbwAySDNj9bv2udUBZf0,0.143,0.721,0.359,1.28e-06,0.108,0.7717666666666667,1.0,0.0513,0.60247,0.258
14,1225xjUATJN7lZKxLBHGAk,0.37,0.687,0.591,5.86e-06,0.153,0.9054333333333333,0.0,0.0776,0.72505,0.467
15,2GmlxHX3djTFnGHDMx9cRT,0.148,0.662,0.344,0.19,0.083,0.8393666666666667,1.0,0.038,0.5501400000000001,0.101
16,66TOWpCGqNqSF1aILu1sNy,0.605,0.574,0.754,5.33e-06,0.128,0.8907166666666666,0.0,0.391,0.8788800000000001,0.467
17,4eNhlwQKsXKDUOJhOOHjJB,0.144,0.5,0.438,1.58e-06,0.103,0.86265,0.0,0.186,0.919645,0.912
18,5Hml3bsM1EGbO9TSAd8DOf,0.108,0.565,0.82,0.0,0.378,0.94285,0.0,0.118,0.441855,0.454
19,36PeNyCYtI2W27L3mkoJgj,0.508,0.442,0.67,0.0,0.0922,0.9046666666666667,0.0,0.0503,0.843665,0.229
20,35EY0qr8KUtbYWJXDXS6vu,0.0261,0.578,0.7,9.35e-06,0.0867,0.8814833333333334,1.0,0.0431,0.40981,0.484
21,5MZ46M8kBTyY6BMYFKDVpo,0.361,0.339,0.54,0.011,0.113,0.82225,0.0,0.0585,0.839145,0.512
22,5n8mDfxIjIu7Hdka3vk2Kb,0.17,0.527,0.628,2.36e-05,0.214,0.8646833333333334,1.0,0.0659,0.692465,0.183
23,2PLvCLvJWw5WQmrFmtR5Mg,0.658,0.759,0.518,0.0906,0.194,0.9117833333333334,0.0,0.0789,0.7602,0.822
24,4cMbQIEO1PS6xWYZX8aBEF,0.692,0.48,0.416,0.0,0.113,0.8249833333333334,1.0,0.224,0.55233,0.702
25,2GEVrxiboPaKnjxKrdRbeU,0.46,0.542,0.527,0.000194,0.247,0.8472,0.0,0.0308,0.78456,0.519
26,0d8bDIV25uFc16k0Vp73BT,0.813,0.71,0.483,0.0169,0.0994,0.8825666666666667,0.0,0.0492,0.63444,0.405
27,2xNAt6SqpsU0oluPNZ2CRY,0.428,0.573,0.599,0.00017,0.102,0.8559,0.0,0.299,0.651335,0.659
28,1s8Y0d650tKgE1qXsgzqgV,0.265,0.623,0.442,0.0,0.0979,0.8454333333333334,0.0,0.072,0.395035,0.697
29,0VHDFZLCnMItkz9a5HAi8w,0.571,0.497,0.384,6.15e-05,0.103,0.8528166666666667,1.0,0.0346,0.588415,0.57
30,0xBY6ZTxIFhzIy3nrdv7hY,0.266,0.76,0.509,0.458,0.0955,0.8030666666666666,1.0,0.0873,0.37499000000000005,0.968
31,0v6nmmeBWS5RXRUOmBfPzI,0.347,0.613,0.62,0.000166,0.233,0.87585,1.0,0.0961,0.49546999999999997,0.338
32,42M33hTmjZonBO3KBLbvnx,0.557,0.596,0.376,0.024,0.0745,0.8128500000000001,0.0,0.0377,0.405135,0.464
33,1GEHrWzUGuhQ7bg97fuaGo,0.421,0.588,0.567,0.105,0.205,0.9104,1.0,0.0302,0.720375,0.593
