,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,7tFiyTwD0nx5a1eklYtX2J,0.288,0.392,0.402,0.0,0.243,0.8339833333333333,0.0,0.0536,0.719415,0.228
1,0ofHAoxe9vBkTCp2UQIavz,0.0644,0.828,0.492,0.00428,0.128,0.8376,1.0,0.0276,0.6007549999999999,0.789
2,1bp2IO61zbQrbWNmKKxg3f,0.365,0.596,0.448,5.3e-06,0.206,0.8397333333333333,1.0,0.0396,0.41646500000000003,0.796
3,61Q9oJNd9hJQFhSDh6Qlap,0.000825,0.315,0.534,0.108,0.101,0.8741333333333333,0.0,0.031,0.5844550000000001,0.283
4,63T7DJ1AFDD6Bn8VzG6JE8,0.0493,0.464,0.795,0.00244,0.399,0.84555,1.0,0.0926,0.793455,0.612
5,5Th6EdNVhxp0TPX41ZLZk6,0.0118,0.45,0.877,4.95e-05,0.0699,0.8932833333333333,1.0,0.0532,0.812385,0.896
6,1xsYj84j7hUDDnTTerGWlH,0.397,0.392,0.476,0.000163,0.309,0.8736166666666667,1.0,0.0249,0.39015500000000003,0.234
7,6qLEOZvf5gI7kWE63JE7p3,0.000273,0.215,0.927,0.00661,0.126,0.8778833333333333,1.0,0.0452,0.85407,0.49
8,0G21yYKMZoHa30cYVi1iA8,0.0195,0.453,0.987,0.283,0.268,0.92525,1.0,0.0889,0.6177199999999999,0.316
9,0RO9W1xJoUEpq5MEelddFb,0.58,0.338,0.34,0.0032,0.116,0.7991833333333334,0.0,0.0339,0.41216500000000006,0.197
10,2zYzyRzz6pRmhPzyfMEC8s,0.061,0.574,0.913,0.00158,0.156,0.9201166666666667,0.0,0.133,0.5786399999999999,0.423
11,1UBQ5GK8JaQjm5VbkBZY66,0.000359,0.601,0.859,0.00124,0.0871,0.9122833333333333,1.0,0.0276,0.625725,0.446
12,70LcF31zb1H0PyJoS1Sx1r,0.0097,0.515,0.43,0.000133,0.129,0.8344166666666667,1.0,0.0372,0.45921999999999996,0.104
13,1i6N76fftMZhijOzFQ5ZtL,0.0708,0.721,0.521,0.00545,0.127,0.8646166666666667,1.0,0.0613,0.61559,0.942
14,40riOy7x9W7GXjyGp4pjAv,0.00574,0.579,0.508,0.000494,0.0575,0.8419333333333333,1.0,0.027,0.735625,0.609
15,3VqHuw0wFlIHcIPWkhIbdQ,0.00277,0.566,0.834,0.008,0.0625,0.8598,0.0,0.0298,0.61648,0.621
16,2LawezPeJhN4AWuSB0GtAU,0.0664,0.741,0.697,2.28e-05,0.133,0.8828666666666667,1.0,0.0277,0.580545,0.774
17,3dPQuX8Gs42Y7b454ybpMR,0.0039,0.743,0.446,0.118,0.337,0.8698833333333333,0.0,0.0683,0.61798,0.278
18,1gzIbdFnGJ226LTl0Cn2SX,0.0133,0.673,0.814,0.00293,0.343,0.9098166666666667,1.0,0.0367,0.7359650000000001,0.728
19,4qgZs0RNjdzKAS22lP0QjY,0.00976,0.49,0.724,0.0046,0.159,0.8403166666666667,1.0,0.0366,0.62906,0.292
20,6cr6UDpkjEaMQ80OjWqEBQ,0.0632,0.73,0.868,0.0661,0.318,0.8779166666666667,1.0,0.0288,0.7410850000000001,0.923
