,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,7tqhbajSfrz2F7E1Z75ASX,0.43,0.663,0.6,0.0,0.184,0.8188333333333333,1.0,0.032,0.6499550000000001,0.8
1,1k1Bqnv2R0uJXQN4u6LKYt,0.457,0.527,0.415,1.72e-05,0.117,0.80915,0.0,0.122,0.390845,0.515
2,3SdTKo2uVsxFblQjpScoHy,0.57,0.65,0.306,7.07e-06,0.0707,0.8426166666666667,1.0,0.0393,0.59034,0.605
3,745H5CctFr12Mo7cqa1BMH,0.635,0.572,0.418,0.0,0.0961,0.8210333333333333,1.0,0.0349,0.52283,0.694
4,3zBhihYUHBmGd2bcQIobrF,0.684,0.769,0.367,1.62e-05,0.081,0.8129,1.0,0.0312,0.5181049999999999,0.535
5,2eF8pWbiivYsYRpbntYsnc,0.0534,0.675,0.597,0.0,0.0986,0.8111833333333334,1.0,0.0337,0.544375,0.828
6,3NfxSdJnVdon1axzloJgba,0.478,0.592,0.355,0.0,0.0585,0.7658166666666667,1.0,0.0352,0.6651600000000001,0.499
7,1JQ6Xm1JrvHfvAqhl5pwaA,0.112,0.589,0.384,2.8e-05,0.0596,0.74875,0.0,0.0332,0.6645449999999999,0.354
8,63xdwScd1Ai1GigAwQxE8y,0.582,0.756,0.401,0.011,0.0541,0.8216333333333333,0.0,0.0526,0.50977,0.514
9,6b6IMqP565TbtFFZg9iFf3,0.245,0.667,0.599,0.0,0.107,0.8517666666666667,1.0,0.0291,0.639675,0.971
10,1OppEieGNdItZbE14gLBEv,0.299,0.63,0.711,0.0,0.0813,0.8443333333333334,1.0,0.0472,0.48456000000000005,0.659
11,0bRXwKfigvpKZUurwqAlEh,0.292,0.692,0.651,0.00241,0.105,0.8622166666666666,1.0,0.0324,0.489615,0.706
12,6Rqn2GFlmvmV4w9Ala0I1e,0.864,0.399,0.326,0.0,0.191,0.8460166666666666,0.0,0.0386,0.39603,0.546
13,1tqT6DhmsrtQgyCKUwotiw,0.272,0.711,0.362,0.0,0.127,0.81915,0.0,0.0381,0.586435,0.616
14,4kP69y3GKHi9tXckfgp4bK,0.195,0.524,0.519,0.0,0.523,0.8016166666666666,1.0,0.043,0.550605,0.847
