,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,7x9aauaA9cu6tyfpHnqDLo,0.311,0.802,0.832,0.0,0.0815,0.93155,1.0,0.0434,0.624985,0.89
1,1BxfuPKGuaTgP7aM0Bbdwr,0.117,0.552,0.702,2.06e-05,0.105,0.9048833333333334,1.0,0.157,0.84997,0.564
2,6wf7Yu7cxBSPrRlWeSeK0Q,0.959,0.444,0.0911,1.05e-06,0.098,0.7055833333333333,1.0,0.0307,0.392015,0.142
3,7ABLbnD53cQK00mhcaOUVG,0.0739,0.708,0.737,0.00162,0.0955,0.9325833333333333,1.0,0.0436,0.45993,0.607
4,1vYXt7VSjH9JIM5oRRo7vA,0.0207,0.671,0.845,0.0,0.329,0.9178333333333333,0.0,0.048,0.55028,0.775
5,3k79jB4aGmMDUQzEwa46Rz,0.169,0.511,0.532,0.0,0.311,0.90425,1.0,0.056,0.6891349999999999,0.322
6,741UUVE2kuITl0c6zuqqbO,0.519,0.77,0.58,0.000127,0.233,0.8601166666666666,1.0,0.247,0.72036,0.753
7,6XbtvPmIpyCbjuT0e8cQtp,0.369,0.668,0.712,2.13e-05,0.108,0.9012166666666667,1.0,0.0381,0.5001,0.264
8,2i8f4VnnBjy0yDqH2C452a,0.00196,0.628,0.878,1.23e-05,0.0649,0.9422,1.0,0.0901,0.64988,0.796
9,4rXLjWdF2ZZpXCVTfWcshS,0.119,0.847,0.622,0.0,0.285,0.8875500000000001,0.0,0.0903,0.650005,0.22
10,2FDTHlrBguDzQkp7PVj16Q,0.186,0.916,0.583,0.0,0.0798,0.86555,1.0,0.241,0.705475,0.661
11,2IGMVunIBsBLtEQyoI1Mu7,0.269,0.868,0.538,3.34e-06,0.0901,0.8566166666666667,1.0,0.174,0.49984,0.732
12,5sdQOyqq2IDhvmx2lHOpwd,0.18,0.776,0.817,3.44e-05,0.146,0.8996999999999999,0.0,0.0748,0.749605,0.515
13,2N0SPREDYqILVEFSsWF5N5,0.183,0.633,0.607,1.38e-06,0.167,0.8969666666666667,0.0,0.0532,0.370145,0.363
14,67nepsnrcZkowTxMWigSbb,0.012,0.557,0.774,0.0,0.396,0.9120833333333334,0.0,0.351,0.559875,0.397
15,1odExI7RdWc4BT515LTAwj,0.83,0.508,0.43,0.000441,0.093,0.8420833333333333,0.0,0.0335,0.65045,0.324
16,4Dvkj6JhhA12EX05fT7y2e,0.342,0.52,0.731,0.00101,0.311,0.9110333333333334,0.0,0.0557,0.86965,0.662
