Genre,Acoustic,Dance,Energy,Instruments,Liveness,Loudness,Mode,Speech,Tempo,Valence
acoustic,0.5611098000000001,0.5551500000000001,0.400255,0.0488905714,0.16474699999999998,0.789939,0.84,0.037243,0.60027325,0.5256500000000001
alternative,0.0866712513,0.54948,0.772155,0.0457184563,0.196426,0.9069895,0.66,0.062273999999999996,0.64814065,0.5489390000000001
ambient,0.9031719999999999,0.18074900000000002,0.11413155600000001,0.8727149999999998,0.11241900000000003,0.5760673333333333,0.63,0.044576000000000005,0.4529513500000001,0.077655
blues,0.44510328571428576,0.5668,0.5180885714285715,0.09404426671428572,0.1907557142857143,0.8174485714285713,0.7142857142857143,0.05659714285714286,0.6199705,0.7004571428571428
chill,0.535591,0.5459499999999999,0.46006100000000005,0.007517995299999999,0.15882000000000002,0.8573316666666666,0.8,0.054532000000000004,0.5735266,0.3850030000000001
classical,0.9202199999999999,0.24484099999999998,0.09393870000000001,0.731118324,0.11817900000000002,0.6063541666666666,0.62,0.043656999999999994,0.5100191000000001,0.125039
country,0.26107939,0.6334000000000001,0.6599,0.0010374744000000002,0.179856,0.8628414999999999,0.96,0.035777,0.6472111999999999,0.6695059999999999
electro,0.08993661333333335,0.6501066666666667,0.8114,0.25583109853333336,0.21324666666666667,0.8975342222222222,0.52,0.08013733333333334,0.6523498000000001,0.44325866666666663
folk,0.6350631000000001,0.5198999999999999,0.34301199999999993,0.0397167447,0.187897,0.7739956666666667,0.86,0.040728999999999994,0.5778215000000001,0.515002
gospel,0.27216977,0.5115299999999999,0.60863,0.0001670663,0.16852499999999998,0.8903758333333335,0.88,0.052562,0.6140747000000001,0.36208399999999996
hiphop,0.14760154199999997,0.7442599999999999,0.6214400000000001,0.00020102620000000002,0.18596400000000002,0.8805884999999999,0.6,0.267024,0.63046165,0.42259899999999995
instrumental,0.98882,0.41868,0.0371204,0.9318599999999999,0.105665,0.5364358333333334,0.85,0.042906999999999994,0.513232,0.254857
jazz,0.42123600000000005,0.54172,0.5422639999999999,0.5858462898000001,0.16148099999999999,0.8209118333333333,0.44,0.068613,0.58686015,0.46882900000000005
kpop,0.10187362000000003,0.7361,0.8342299999999999,0.0022293873,0.20745299999999997,0.9273016666666665,0.54,0.07833,0.5895254,0.70856
metal,0.011437735800000001,0.45610000000000006,0.89237,0.0681412988,0.21711299999999994,0.9050205,0.56,0.079421,0.6162128,0.390194
pop,0.234385302,0.6446,0.62799,0.0530517213,0.15983699999999998,0.8849385,0.65,0.10900899999999998,0.6130309999999999,0.48078000000000004
punk,0.013896595000000001,0.49026,0.8921500000000002,0.006159839399999999,0.19751000000000002,0.9287965,0.72,0.07865099999999998,0.7203644,0.5779710000000001
rnb,0.3759671,0.6085299999999999,0.53164,0.042736158700000006,0.17038900000000004,0.8574228333333334,0.33,0.12065300000000001,0.6119473500000001,0.499704
rock,0.13583151799999998,0.5358700000000001,0.7279600000000002,0.0504923587,0.17502599999999993,0.8687160000000002,0.75,0.062007999999999994,0.62183405,0.5838800000000001
soul,0.3932013999999999,0.64613,0.5575199999999999,0.008453215600000001,0.20015,0.8407846666666667,0.74,0.056724,0.5796571,0.72583
